X[m];Y[m];Z[m];u-x[m];u-y[m];u-z[m];du-y[m];du-z[m]
7.875;7.0;0.927000035502;7.12474753387e-07;-5.30744375579e-08;-0.000167686978524;0.0;0.0
8.0;7.0;0.926999929804;1.030836851e-06;-3.76430617697e-08;-0.0001568626425;0.0;0.0
8.125;7.0;0.926999985661;1.41755627461e-06;-2.23592342401e-08;-0.000146602124936;0.0;0.0
8.25;7.0;0.926999969276;1.86265001388e-06;-9.01143345889e-09;-0.000136972319691;0.0;0.0
8.375;7.0;0.926999872704;2.36133920962e-06;3.91950963902e-09;-0.000128012714933;0.0;0.0
8.5;7.0;0.926999955989;2.91538824953e-06;0.0;-0.000119787376447;0.0;0.0
8.625;7.0;0.92699995127;3.50963244107e-06;1.02005908592e-07;-0.000112368615473;0.0;0.0
8.75;7.0;0.926999792988;4.12700651618e-06;1.78325984803e-07;-0.000105663803482;0.0;0.0
8.875;7.0;0.926999913132;4.77169372134e-06;2.50450259696e-07;-9.95895229302e-05;0.0;0.0
9.0;7.0;0.926999955831;5.43876912265e-06;2.84799383104e-07;-9.41047102287e-05;0.0;0.0
9.125;7.0;0.926999674726;6.12830406697e-06;3.2396686525e-07;-8.91443971663e-05;0.0;0.0
9.25;7.0;0.926999892139;6.83494478858e-06;2.92083813658e-07;-8.4659604966e-05;0.0;0.0
9.375;7.0;0.927000021252;7.55354191282e-06;1.92951223081e-07;-8.05375103536e-05;0.0;0.0
9.5;7.0;0.926999205656;8.32882992023e-06;0.0;-7.69221972981e-05;0.0;0.0
9.67045048712;7.0;0.927000845709;9.39924122418e-06;1.43741636356e-07;-7.30632480508e-05;0.0;0.0
9.84090097423;7.0;0.926995530172;1.04439488263e-05;1.57836828647e-07;-6.99227331395e-05;0.0;0.0
10.0113514613;7.0;0.927011022567;1.15361620915e-05;1.98171600166e-08;-6.71918041693e-05;0.0;0.0
10.1818019485;7.0;0.926967743115;1.27064950314e-05;-1.45771784278e-07;-6.51578596453e-05;0.0;0.0
10.3409009742;7.0;0.927053799456;1.39114897529e-05;-1.58490694483e-07;-6.42938935265e-05;0.0;0.0
