Knoten;;Bezugs-;Koordinaten-;Knotenkoordinaten;;;
Nr.;Knotentyp;Knoten;System;X [m];Y [m];Z [m];Kommentar
256;Standard;0;Kartesisch;-1.500;2.250;0.000;
257;Standard;0;Kartesisch;-1.500;2.500;0.000;
258;Standard;0;Kartesisch;-1.500;2.750;0.000;
259;Standard;0;Kartesisch;-1.500;3.000;0.000;
260;Standard;0;Kartesisch;-1.500;3.250;0.000;
261;Standard;0;Kartesisch;-1.500;3.500;0.000;
262;Standard;0;Kartesisch;-1.250;-3.500;0.000;
263;Standard;0;Kartesisch;-1.250;-3.250;0.000;
264;Standard;0;Kartesisch;-1.250;-3.000;0.000;
265;Standard;0;Kartesisch;-1.250;-2.750;0.000;
266;Standard;0;Kartesisch;-1.250;-2.500;0.000;
267;Standard;0;Kartesisch;-1.250;-2.250;0.000;
268;Standard;0;Kartesisch;-1.250;-2.000;0.000;
269;Standard;0;Kartesisch;-1.250;-1.750;0.000;
270;Standard;0;Kartesisch;-1.250;-1.500;0.000;
271;Standard;0;Kartesisch;-1.250;-1.250;0.000;
272;Standard;0;Kartesisch;-1.250;-1.000;0.000;
273;Standard;0;Kartesisch;-1.250;-0.750;0.000;
274;Standard;0;Kartesisch;-1.250;-0.500;0.000;
275;Standard;0;Kartesisch;-1.250;-0.250;0.000;
276;Standard;0;Kartesisch;-1.250;0.000;0.000;
277;Standard;0;Kartesisch;-1.250;0.250;0.000;
278;Standard;0;Kartesisch;-1.250;0.500;0.000;
279;Standard;0;Kartesisch;-1.250;0.750;0.000;
280;Standard;0;Kartesisch;-1.250;1.000;0.000;
281;Standard;0;Kartesisch;-1.250;1.250;0.000;
282;Standard;0;Kartesisch;-1.250;1.500;0.000;
283;Standard;0;Kartesisch;-1.250;1.750;0.000;
284;Standard;0;Kartesisch;-1.250;2.000;0.000;
285;Standard;0;Kartesisch;-1.250;2.250;0.000;
286;Standard;0;Kartesisch;-1.250;2.500;0.000;
287;Standard;0;Kartesisch;-1.250;2.750;0.000;
288;Standard;0;Kartesisch;-1.250;3.000;0.000;
289;Standard;0;Kartesisch;-1.250;3.250;0.000;
290;Standard;0;Kartesisch;-1.250;3.500;0.000;
291;Standard;0;Kartesisch;-1.000;-3.500;0.000;
292;Standard;0;Kartesisch;-1.000;-3.250;0.000;
293;Standard;0;Kartesisch;-1.000;-3.000;0.000;
294;Standard;0;Kartesisch;-1.000;-2.750;0.000;
295;Standard;0;Kartesisch;-1.000;-2.500;0.000;
296;Standard;0;Kartesisch;-1.000;-2.250;0.000;
297;Standard;0;Kartesisch;-1.000;-2.000;0.000;
298;Standard;0;Kartesisch;-1.000;-1.750;0.000;
299;Standard;0;Kartesisch;-1.000;-1.500;0.000;
300;Standard;0;Kartesisch;-1.000;-1.250;0.000;
301;Standard;0;Kartesisch;-1.000;-1.000;0.000;
302;Standard;0;Kartesisch;-1.000;-0.750;0.000;
303;Standard;0;Kartesisch;-1.000;-0.500;0.000;
304;Standard;0;Kartesisch;-1.000;-0.250;0.000;
305;Standard;0;Kartesisch;-1.000;0.000;0.000;
306;Standard;0;Kartesisch;-1.000;0.250;0.000;
307;Standard;0;Kartesisch;-1.000;0.500;0.000;
308;Standard;0;Kartesisch;-1.000;0.750;0.000;
309;Standard;0;Kartesisch;-1.000;1.000;0.000;
310;Standard;0;Kartesisch;-1.000;1.250;0.000;
311;Standard;0;Kartesisch;-1.000;1.500;0.000;
312;Standard;0;Kartesisch;-1.000;1.750;0.000;
313;Standard;0;Kartesisch;-1.000;2.000;0.000;
314;Standard;0;Kartesisch;-1.000;2.250;0.000;
315;Standard;0;Kartesisch;-1.000;2.500;0.000;
316;Standard;0;Kartesisch;-1.000;2.750;0.000;
317;Standard;0;Kartesisch;-1.000;3.000;0.000;
318;Standard;0;Kartesisch;-1.000;3.250;0.000;
319;Standard;0;Kartesisch;-1.000;3.500;0.000;
320;Standard;0;Kartesisch;-0.750;-3.500;0.000;
321;Standard;0;Kartesisch;-0.750;-3.250;0.000;
322;Standard;0;Kartesisch;-0.750;-3.000;0.000;
323;Standard;0;Kartesisch;-0.750;-2.750;0.000;
324;Standard;0;Kartesisch;-0.750;-2.500;0.000;
325;Standard;0;Kartesisch;-0.750;-2.250;0.000;
326;Standard;0;Kartesisch;-0.750;-2.000;0.000;
327;Standard;0;Kartesisch;-0.750;-1.750;0.000;
328;Standard;0;Kartesisch;-0.750;-1.500;0.000;
329;Standard;0;Kartesisch;-0.750;-1.250;0.000;
330;Standard;0;Kartesisch;-0.750;-1.000;0.000;
331;Standard;0;Kartesisch;-0.750;-0.750;0.000;
332;Standard;0;Kartesisch;-0.750;-0.500;0.000;
333;Standard;0;Kartesisch;-0.750;-0.250;0.000;
334;Standard;0;Kartesisch;-0.750;0.000;0.000;
335;Standard;0;Kartesisch;-0.750;0.250;0.000;
336;Standard;0;Kartesisch;-0.750;0.500;0.000;
337;Standard;0;Kartesisch;-0.750;0.750;0.000;
338;Standard;0;Kartesisch;-0.750;1.000;0.000;
339;Standard;0;Kartesisch;-0.750;1.250;0.000;
340;Standard;0;Kartesisch;-0.750;1.500;0.000;
341;Standard;0;Kartesisch;-0.750;1.750;0.000;
342;Standard;0;Kartesisch;-0.750;2.000;0.000;
343;Standard;0;Kartesisch;-0.750;2.250;0.000;
344;Standard;0;Kartesisch;-0.750;2.500;0.000;
345;Standard;0;Kartesisch;-0.750;2.750;0.000;
346;Standard;0;Kartesisch;-0.750;3.000;0.000;
347;Standard;0;Kartesisch;-0.750;3.250;0.000;
348;Standard;0;Kartesisch;-0.750;3.500;0.000;
349;Standard;0;Kartesisch;-0.500;-3.500;0.000;
350;Standard;0;Kartesisch;-0.500;-3.250;0.000;
351;Standard;0;Kartesisch;-0.500;-3.000;0.000;
352;Standard;0;Kartesisch;-0.500;-2.750;0.000;
353;Standard;0;Kartesisch;-0.500;-2.500;0.000;
354;Standard;0;Kartesisch;-0.500;-2.250;0.000;
355;Standard;0;Kartesisch;-0.500;-2.000;0.000;
356;Standard;0;Kartesisch;-0.500;-1.750;0.000;
357;Standard;0;Kartesisch;-0.500;-1.500;0.000;
358;Standard;0;Kartesisch;-0.500;-1.250;0.000;
359;Standard;0;Kartesisch;-0.500;-1.000;0.000;
