Knoten;;Bezugs-;Koordinaten-;Knotenkoordinaten;;;
Nr.;Knotentyp;Knoten;System;X [m];Y [m];Z [m];Kommentar
216;Standard;0;Kartesisch;0.300;0.200;-3.160;
217;Standard;0;Kartesisch;0.300;0.300;-3.160;
218;Standard;0;Kartesisch;0.300;0.400;-3.160;
219;Standard;0;Kartesisch;0.300;0.500;-3.160;
220;Standard;0;Kartesisch;0.300;0.600;-3.160;
221;Standard;0;Kartesisch;0.300;0.700;-3.160;
222;Standard;0;Kartesisch;0.300;0.800;-3.160;
223;Standard;0;Kartesisch;0.300;0.900;-3.160;
224;Standard;0;Kartesisch;0.300;1.000;-3.160;
225;Standard;0;Kartesisch;0.300;1.100;-3.160;
226;Standard;0;Kartesisch;0.300;1.200;-3.160;
227;Standard;0;Kartesisch;0.300;1.300;-3.160;
228;Standard;0;Kartesisch;0.300;1.400;-3.160;
229;Standard;0;Kartesisch;0.300;1.500;-3.160;
230;Standard;0;Kartesisch;0.300;1.600;-3.160;
231;Standard;0;Kartesisch;0.300;1.700;-3.160;
232;Standard;0;Kartesisch;0.300;1.800;-3.160;
233;Standard;0;Kartesisch;0.300;1.900;-3.160;
234;Standard;0;Kartesisch;0.300;2.000;-3.160;
235;Standard;0;Kartesisch;0.300;2.100;-3.160;
236;Standard;0;Kartesisch;0.300;2.200;-3.160;
237;Standard;0;Kartesisch;0.300;2.300;-3.160;
238;Standard;0;Kartesisch;0.300;2.400;-3.160;
239;Standard;0;Kartesisch;0.300;2.500;-3.160;
240;Standard;0;Kartesisch;0.300;2.600;-3.160;
241;Standard;0;Kartesisch;0.300;2.700;-3.160;
242;Standard;0;Kartesisch;0.300;2.800;-3.160;
243;Standard;0;Kartesisch;0.300;2.900;-3.160;
244;Standard;0;Kartesisch;0.300;3.000;-3.160;
245;Standard;0;Kartesisch;0.300;3.100;-3.160;
246;Standard;0;Kartesisch;0.300;3.200;-3.160;
247;Standard;0;Kartesisch;0.300;3.300;-3.160;
248;Standard;0;Kartesisch;0.300;3.400;-3.160;
249;Standard;0;Kartesisch;0.300;3.500;-3.160;
250;Standard;0;Kartesisch;0.300;3.600;-3.160;
251;Standard;0;Kartesisch;0.300;3.700;-3.160;
252;Standard;0;Kartesisch;0.300;3.800;-3.160;
253;Standard;0;Kartesisch;0.300;3.900;-3.160;
254;Standard;0;Kartesisch;0.300;4.000;-3.160;
255;Standard;0;Kartesisch;0.300;4.100;-3.160;
256;Standard;0;Kartesisch;0.300;4.200;-3.160;
257;Standard;0;Kartesisch;0.300;4.300;-3.160;
258;Standard;0;Kartesisch;0.300;4.400;-3.160;
259;Standard;0;Kartesisch;0.300;4.500;-3.160;
260;Standard;0;Kartesisch;0.300;4.600;-3.160;
261;Standard;0;Kartesisch;0.300;4.700;-3.160;
262;Standard;0;Kartesisch;0.300;4.800;-3.160;
263;Standard;0;Kartesisch;0.300;4.900;-3.160;
264;Standard;0;Kartesisch;0.300;5.000;-3.160;
265;Standard;0;Kartesisch;0.300;5.100;-3.160;
266;Standard;0;Kartesisch;0.300;5.200;-3.160;
267;Standard;0;Kartesisch;0.300;5.300;-3.160;
268;Standard;0;Kartesisch;0.300;5.400;-3.160;
269;Standard;0;Kartesisch;0.300;5.500;-3.160;
270;Standard;0;Kartesisch;0.300;5.600;-3.160;
271;Standard;0;Kartesisch;0.300;5.700;-3.160;
272;Standard;0;Kartesisch;0.300;5.800;-3.160;
273;Standard;0;Kartesisch;0.300;5.900;-3.160;
274;Standard;0;Kartesisch;0.300;6.000;-3.160;
275;Standard;0;Kartesisch;0.300;6.100;-3.160;
276;Standard;0;Kartesisch;0.300;6.200;-3.160;
277;Standard;0;Kartesisch;0.300;6.300;-3.160;
278;Standard;0;Kartesisch;0.300;6.400;-3.160;
279;Standard;0;Kartesisch;0.300;6.500;-3.160;
280;Standard;0;Kartesisch;0.300;6.600;-3.160;
281;Standard;0;Kartesisch;0.300;6.700;-3.160;
282;Standard;0;Kartesisch;0.300;6.800;-3.160;
283;Standard;0;Kartesisch;0.300;6.900;-3.160;
284;Standard;0;Kartesisch;0.300;7.000;-3.160;
285;Standard;0;Kartesisch;0.400;0.000;-3.160;
286;Standard;0;Kartesisch;0.400;0.100;-3.160;
287;Standard;0;Kartesisch;0.400;0.200;-3.160;
288;Standard;0;Kartesisch;0.400;0.300;-3.160;
289;Standard;0;Kartesisch;0.400;0.400;-3.160;
290;Standard;0;Kartesisch;0.400;0.500;-3.160;
291;Standard;0;Kartesisch;0.400;0.600;-3.160;
292;Standard;0;Kartesisch;0.400;0.700;-3.160;
293;Standard;0;Kartesisch;0.400;0.800;-3.160;
294;Standard;0;Kartesisch;0.400;0.900;-3.160;
295;Standard;0;Kartesisch;0.400;1.000;-3.160;
296;Standard;0;Kartesisch;0.400;1.100;-3.160;
297;Standard;0;Kartesisch;0.400;1.200;-3.160;
298;Standard;0;Kartesisch;0.400;1.300;-3.160;
299;Standard;0;Kartesisch;0.400;1.400;-3.160;
300;Standard;0;Kartesisch;0.400;1.500;-3.160;
301;Standard;0;Kartesisch;0.400;1.600;-3.160;
302;Standard;0;Kartesisch;0.400;1.700;-3.160;
303;Standard;0;Kartesisch;0.400;1.800;-3.160;
304;Standard;0;Kartesisch;0.400;1.900;-3.160;
305;Standard;0;Kartesisch;0.400;2.000;-3.160;
306;Standard;0;Kartesisch;0.400;2.100;-3.160;
307;Standard;0;Kartesisch;0.400;2.200;-3.160;
308;Standard;0;Kartesisch;0.400;2.300;-3.160;
309;Standard;0;Kartesisch;0.400;2.400;-3.160;
310;Standard;0;Kartesisch;0.400;2.500;-3.160;
311;Standard;0;Kartesisch;0.400;2.600;-3.160;
312;Standard;0;Kartesisch;0.400;2.700;-3.160;
313;Standard;0;Kartesisch;0.400;2.800;-3.160;
314;Standard;0;Kartesisch;0.400;2.900;-3.160;
315;Standard;0;Kartesisch;0.400;3.000;-3.160;
316;Standard;0;Kartesisch;0.400;3.100;-3.160;
317;Standard;0;Kartesisch;0.400;3.200;-3.160;
318;Standard;0;Kartesisch;0.400;3.300;-3.160;
319;Standard;0;Kartesisch;0.400;3.400;-3.160;
320;Standard;0;Kartesisch;0.400;3.500;-3.160;
321;Standard;0;Kartesisch;0.400;3.600;-3.160;
322;Standard;0;Kartesisch;0.400;3.700;-3.160;
323;Standard;0;Kartesisch;0.400;3.800;-3.160;
324;Standard;0;Kartesisch;0.400;3.900;-3.160;
325;Standard;0;Kartesisch;0.400;4.000;-3.160;
326;Standard;0;Kartesisch;0.400;4.100;-3.160;
327;Standard;0;Kartesisch;0.400;4.200;-3.160;
328;Standard;0;Kartesisch;0.400;4.300;-3.160;
329;Standard;0;Kartesisch;0.400;4.400;-3.160;
330;Standard;0;Kartesisch;0.400;4.500;-3.160;
331;Standard;0;Kartesisch;0.400;4.600;-3.160;
332;Standard;0;Kartesisch;0.400;4.700;-3.160;
333;Standard;0;Kartesisch;0.400;4.800;-3.160;
334;Standard;0;Kartesisch;0.400;4.900;-3.160;
335;Standard;0;Kartesisch;0.400;5.000;-3.160;
336;Standard;0;Kartesisch;0.400;5.100;-3.160;
337;Standard;0;Kartesisch;0.400;5.200;-3.160;
338;Standard;0;Kartesisch;0.400;5.300;-3.160;
339;Standard;0;Kartesisch;0.400;5.400;-3.160;
340;Standard;0;Kartesisch;0.400;5.500;-3.160;
341;Standard;0;Kartesisch;0.400;5.600;-3.160;
342;Standard;0;Kartesisch;0.400;5.700;-3.160;
343;Standard;0;Kartesisch;0.400;5.800;-3.160;
344;Standard;0;Kartesisch;0.400;5.900;-3.160;
345;Standard;0;Kartesisch;0.400;6.000;-3.160;
346;Standard;0;Kartesisch;0.400;6.100;-3.160;
347;Standard;0;Kartesisch;0.400;6.200;-3.160;
348;Standard;0;Kartesisch;0.400;6.300;-3.160;
349;Standard;0;Kartesisch;0.400;6.400;-3.160;
350;Standard;0;Kartesisch;0.400;6.500;-3.160;
351;Standard;0;Kartesisch;0.400;6.600;-3.160;
352;Standard;0;Kartesisch;0.400;6.700;-3.160;
353;Standard;0;Kartesisch;0.400;6.800;-3.160;
354;Standard;0;Kartesisch;0.400;6.900;-3.160;
355;Standard;0;Kartesisch;0.400;7.000;-3.160;
356;Standard;0;Kartesisch;0.500;0.000;-3.160;
357;Standard;0;Kartesisch;0.500;0.100;-3.160;
358;Standard;0;Kartesisch;0.500;0.200;-3.160;
359;Standard;0;Kartesisch;0.500;0.300;-3.160;
360;Standard;0;Kartesisch;0.500;0.400;-3.160;
361;Standard;0;Kartesisch;0.500;0.500;-3.160;
362;Standard;0;Kartesisch;0.500;0.600;-3.160;
363;Standard;0;Kartesisch;0.500;0.700;-3.160;
364;Standard;0;Kartesisch;0.500;0.800;-3.160;
365;Standard;0;Kartesisch;0.500;0.900;-3.160;
366;Standard;0;Kartesisch;0.500;1.000;-3.160;
367;Standard;0;Kartesisch;0.500;1.100;-3.160;
368;Standard;0;Kartesisch;0.500;1.200;-3.160;
369;Standard;0;Kartesisch;0.500;1.300;-3.160;
370;Standard;0;Kartesisch;0.500;1.400;-3.160;
371;Standard;0;Kartesisch;0.500;1.500;-3.160;
372;Standard;0;Kartesisch;0.500;1.600;-3.160;
373;Standard;0;Kartesisch;0.500;1.700;-3.160;
374;Standard;0;Kartesisch;0.500;1.800;-3.160;
375;Standard;0;Kartesisch;0.500;1.900;-3.160;
376;Standard;0;Kartesisch;0.500;2.000;-3.160;
377;Standard;0;Kartesisch;0.500;2.100;-3.160;
378;Standard;0;Kartesisch;0.500;2.200;-3.160;
379;Standard;0;Kartesisch;0.500;2.300;-3.160;
380;Standard;0;Kartesisch;0.500;2.400;-3.160;
381;Standard;0;Kartesisch;0.500;2.500;-3.160;
382;Standard;0;Kartesisch;0.500;2.600;-3.160;
383;Standard;0;Kartesisch;0.500;2.700;-3.160;
384;Standard;0;Kartesisch;0.500;2.800;-3.160;
385;Standard;0;Kartesisch;0.500;2.900;-3.160;
386;Standard;0;Kartesisch;0.500;3.000;-3.160;
387;Standard;0;Kartesisch;0.500;3.100;-3.160;
388;Standard;0;Kartesisch;0.500;3.200;-3.160;
389;Standard;0;Kartesisch;0.500;3.300;-3.160;
390;Standard;0;Kartesisch;0.500;3.400;-3.160;
391;Standard;0;Kartesisch;0.500;3.500;-3.160;
392;Standard;0;Kartesisch;0.500;3.600;-3.160;
393;Standard;0;Kartesisch;0.500;3.700;-3.160;
394;Standard;0;Kartesisch;0.500;3.800;-3.160;
395;Standard;0;Kartesisch;0.500;3.900;-3.160;
396;Standard;0;Kartesisch;0.500;4.000;-3.160;
397;Standard;0;Kartesisch;0.500;4.100;-3.160;
398;Standard;0;Kartesisch;0.500;4.200;-3.160;
399;Standard;0;Kartesisch;0.500;4.300;-3.160;
400;Standard;0;Kartesisch;0.500;4.400;-3.160;
401;Standard;0;Kartesisch;0.500;4.500;-3.160;
402;Standard;0;Kartesisch;0.500;4.600;-3.160;
403;Standard;0;Kartesisch;0.500;4.700;-3.160;
404;Standard;0;Kartesisch;0.500;4.800;-3.160;
405;Standard;0;Kartesisch;0.500;4.900;-3.160;
406;Standard;0;Kartesisch;0.500;5.000;-3.160;
407;Standard;0;Kartesisch;0.500;5.100;-3.160;
408;Standard;0;Kartesisch;0.500;5.200;-3.160;
409;Standard;0;Kartesisch;0.500;5.300;-3.160;
410;Standard;0;Kartesisch;0.500;5.400;-3.160;
411;Standard;0;Kartesisch;0.500;5.500;-3.160;
412;Standard;0;Kartesisch;0.500;5.600;-3.160;
413;Standard;0;Kartesisch;0.500;5.700;-3.160;
414;Standard;0;Kartesisch;0.500;5.800;-3.160;
415;Standard;0;Kartesisch;0.500;5.900;-3.160;
416;Standard;0;Kartesisch;0.500;6.000;-3.160;
417;Standard;0;Kartesisch;0.500;6.100;-3.160;
418;Standard;0;Kartesisch;0.500;6.200;-3.160;
419;Standard;0;Kartesisch;0.500;6.300;-3.160;
420;Standard;0;Kartesisch;0.500;6.400;-3.160;
421;Standard;0;Kartesisch;0.500;6.500;-3.160;
422;Standard;0;Kartesisch;0.500;6.600;-3.160;
423;Standard;0;Kartesisch;0.500;6.700;-3.160;
424;Standard;0;Kartesisch;0.500;6.800;-3.160;
425;Standard;0;Kartesisch;0.500;6.900;-3.160;
426;Standard;0;Kartesisch;0.500;7.000;-3.160;
427;Standard;0;Kartesisch;0.600;0.000;-3.160;
428;Standard;0;Kartesisch;0.600;0.100;-3.160;
429;Standard;0;Kartesisch;0.600;0.200;-3.160;
430;Standard;0;Kartesisch;0.600;0.300;-3.160;
431;Standard;0;Kartesisch;0.600;0.400;-3.160;
432;Standard;0;Kartesisch;0.600;0.500;-3.160;
433;Standard;0;Kartesisch;0.600;0.600;-3.160;
434;Standard;0;Kartesisch;0.600;0.700;-3.160;
435;Standard;0;Kartesisch;0.600;0.800;-3.160;
436;Standard;0;Kartesisch;0.600;0.900;-3.160;
437;Standard;0;Kartesisch;0.600;1.000;-3.160;
438;Standard;0;Kartesisch;0.600;1.100;-3.160;
439;Standard;0;Kartesisch;0.600;1.200;-3.160;
440;Standard;0;Kartesisch;0.600;1.300;-3.160;
441;Standard;0;Kartesisch;0.600;1.400;-3.160;
442;Standard;0;Kartesisch;0.600;1.500;-3.160;
443;Standard;0;Kartesisch;0.600;1.600;-3.160;
444;Standard;0;Kartesisch;0.600;1.700;-3.160;
445;Standard;0;Kartesisch;0.600;1.800;-3.160;
446;Standard;0;Kartesisch;0.600;1.900;-3.160;
447;Standard;0;Kartesisch;0.600;2.000;-3.160;
448;Standard;0;Kartesisch;0.600;2.100;-3.160;
449;Standard;0;Kartesisch;0.600;2.200;-3.160;
450;Standard;0;Kartesisch;0.600;2.300;-3.160;
