Fläche;Rasterpunkt-Koordinaten [m];;
Nr.;X;Y;Z
506;-1.375;0.375;0.000
507;-1.375;0.625;0.000
508;-1.375;0.875;0.000
509;-1.375;1.125;0.000
510;-1.375;1.375;0.000
511;-1.375;1.625;0.000
512;-1.375;1.875;0.000
513;-1.375;2.125;0.000
514;-1.375;2.375;0.000
515;-1.375;2.625;0.000
516;-1.375;2.875;0.000
517;-1.375;3.125;0.000
518;-1.375;3.375;0.000
519;-1.125;0.125;0.000
520;-1.125;0.375;0.000
521;-1.125;0.625;0.000
522;-1.125;0.875;0.000
523;-1.125;1.125;0.000
524;-1.125;1.375;0.000
525;-1.125;1.625;0.000
526;-1.125;1.875;0.000
527;-1.125;2.125;0.000
528;-1.125;2.375;0.000
529;-1.125;2.625;0.000
530;-1.125;2.875;0.000
531;-1.125;3.125;0.000
532;-1.125;3.375;0.000
533;-0.875;0.125;0.000
534;-0.875;0.375;0.000
535;-0.875;0.625;0.000
536;-0.875;0.875;0.000
537;-0.875;1.125;0.000
538;-0.875;1.375;0.000
539;-0.875;1.625;0.000
540;-0.875;1.875;0.000
541;-0.875;2.125;0.000
542;-0.875;2.375;0.000
543;-0.875;2.625;0.000
544;-0.875;2.875;0.000
545;-0.875;3.125;0.000
546;-0.875;3.375;0.000
547;-0.625;0.125;0.000
548;-0.625;0.375;0.000
549;-0.625;0.625;0.000
550;-0.625;0.875;0.000
551;-0.625;1.125;0.000
552;-0.625;1.375;0.000
553;-0.625;1.625;0.000
554;-0.625;1.875;0.000
555;-0.625;2.125;0.000
556;-0.625;2.375;0.000
557;-0.625;2.625;0.000
558;-0.625;2.875;0.000
559;-0.625;3.125;0.000
560;-0.625;3.375;0.000
561;-0.375;0.125;0.000
562;-0.375;0.375;0.000
563;-0.375;0.625;0.000
564;-0.375;0.875;0.000
565;-0.375;1.125;0.000
566;-0.375;1.375;0.000
567;-0.375;1.625;0.000
568;-0.375;1.875;0.000
569;-0.375;2.125;0.000
