Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
21;1;0.150;-0.050;-3.200;-0.59;-5.86;1.80;15.65;-24.14;13.39;21.93;-48.93
22;1;0.150;-0.150;-3.224;0.86;-3.35;-1.83;-5.61;-8.32;7.54;19.69;-41.47
23;1;0.150;-0.250;-3.248;0.90;-1.78;-1.98;-6.54;-0.53;2.69;12.35;-32.68
24;1;0.150;-0.350;-3.272;0.68;-1.41;-1.67;-5.00;0.60;-2.54;4.31;-25.38
25;1;0.150;-0.450;-3.296;0.50;-1.36;-1.36;-3.76;-0.18;-6.62;-2.90;-19.69
26;1;0.150;-0.550;-3.320;0.35;-1.28;-1.09;-3.36;-0.88;-9.35;-8.71;-15.69
27;1;0.150;-0.650;-3.344;0.25;-1.17;-0.84;-3.23;-1.21;-11.01;-13.08;-12.86
28;1;0.150;-0.750;-3.368;0.18;-1.02;-0.63;-3.10;-1.26;-11.82;-16.20;-10.86
29;1;0.150;-0.850;-3.392;0.14;-0.87;-0.46;-2.87;-1.13;-11.96;-18.27;-9.43
30;1;0.150;-0.950;-3.416;0.12;-0.71;-0.32;-2.55;-0.90;-11.60;-19.49;-8.38
31;1;0.150;-1.050;-3.440;0.11;-0.57;-0.21;-2.17;-0.65;-10.92;-20.03;-7.60
32;1;0.150;-1.150;-3.464;0.11;-0.45;-0.13;-1.78;-0.39;-10.07;-20.06;-7.02
33;1;0.150;-1.250;-3.488;0.11;-0.36;-0.08;-1.47;-0.14;-9.18;-19.69;-6.58
34;1;0.150;-1.350;-3.512;0.11;-0.28;-0.04;-1.15;-0.18;-8.33;-18.98;-6.25
35;1;0.150;-1.450;-3.536;0.12;-0.21;-0.02;-0.95;-0.22;-7.57;-17.98;-5.95
36;1;0.150;-1.550;-3.560;0.13;-0.16;-0.01;-0.82;-0.10;-6.89;-16.78;-5.71
37;1;0.150;-1.650;-3.585;0.13;-0.12;0.00;-0.58;-0.09;-6.36;-15.65;-5.46
38;1;0.150;-1.750;-3.609;0.15;-0.09;0.00;-0.40;-0.09;-6.00;-14.71;-5.20
39;1;0.150;-1.850;-3.633;0.16;-0.08;0.00;-0.32;-0.07;-5.77;-13.88;-4.94
40;1;0.150;-1.950;-3.657;0.17;-0.07;0.00;-0.27;-0.06;-5.61;-13.14;-4.66
41;1;0.250;-0.050;-3.224;-0.69;-2.26;-0.45;7.97;-10.76;17.06;21.23;-44.07
42;1;0.250;-0.150;-3.248;0.22;-2.13;-1.38;-2.49;-7.92;11.44;17.17;-38.42
43;1;0.250;-0.250;-3.271;0.38;-1.51;-1.51;-6.18;-3.44;5.15;11.99;-30.69
44;1;0.250;-0.350;-3.295;0.36;-1.25;-1.30;-5.54;-1.56;-0.15;6.02;-23.44
45;1;0.250;-0.450;-3.318;0.28;-1.13;-1.05;-4.39;-1.13;-4.05;0.25;-17.71
46;1;0.250;-0.550;-3.341;0.19;-1.04;-0.82;-3.55;-1.08;-6.65;-4.76;-13.47
47;1;0.250;-0.650;-3.365;0.12;-0.93;-0.62;-2.96;-1.02;-8.21;-8.81;-10.48
48;1;0.250;-0.750;-3.388;0.06;-0.82;-0.45;-2.50;-0.89;-8.99;-11.92;-8.40
49;1;0.250;-0.850;-3.412;0.03;-0.70;-0.32;-2.08;-0.72;-9.18;-14.22;-6.98
50;1;0.250;-0.950;-3.435;0.02;-0.58;-0.22;-1.70;-0.55;-8.99;-15.82;-6.02
51;1;0.250;-1.050;-3.459;0.02;-0.48;-0.15;-1.37;-0.42;-8.57;-16.84;-5.40
52;1;0.250;-1.150;-3.482;0.03;-0.39;-0.09;-1.16;-0.27;-8.02;-17.37;-5.00
53;1;0.250;-1.250;-3.505;0.03;-0.31;-0.05;-0.91;-0.20;-7.45;-17.48;-4.78
54;1;0.250;-1.350;-3.529;0.05;-0.25;-0.03;-0.67;-0.25;-6.95;-17.34;-4.62
55;1;0.250;-1.450;-3.552;0.07;-0.20;-0.01;-0.60;-0.24;-6.50;-16.95;-4.57
56;1;0.250;-1.550;-3.576;0.08;-0.15;0.00;-0.52;-0.21;-6.09;-16.32;-4.57
57;1;0.250;-1.650;-3.599;0.10;-0.12;0.00;-0.44;-0.23;-5.79;-15.58;-4.54
58;1;0.250;-1.750;-3.623;0.11;-0.09;0.00;-0.37;-0.18;-5.56;-14.82;-4.45
59;1;0.250;-1.850;-3.646;0.13;-0.07;0.00;-0.31;-0.13;-5.39;-14.10;-4.29
60;1;0.250;-1.950;-3.670;0.15;-0.06;0.00;-0.26;-0.10;-5.28;-13.46;-4.08
61;1;0.350;-0.050;-3.249;-0.36;-0.92;-1.25;2.84;-3.87;20.39;24.99;-39.85
62;1;0.350;-0.150;-3.272;-0.02;-1.10;-1.34;-1.61;-4.33;14.48;18.22;-34.13
63;1;0.350;-0.250;-3.295;0.09;-1.03;-1.23;-3.90;-2.80;8.08;12.84;-27.21
64;1;0.350;-0.350;-3.317;0.11;-0.94;-1.01;-4.06;-1.62;2.66;7.56;-20.83
65;1;0.350;-0.450;-3.340;0.10;-0.88;-0.79;-3.41;-1.07;-1.37;2.57;-15.57
66;1;0.350;-0.550;-3.363;0.06;-0.81;-0.60;-2.71;-0.83;-4.11;-1.85;-11.56
67;1;0.350;-0.650;-3.386;0.02;-0.74;-0.44;-2.14;-0.67;-5.80;-5.57;-8.67
68;1;0.350;-0.750;-3.409;-0.01;-0.65;-0.32;-1.69;-0.52;-6.72;-8.58;-6.67
69;1;0.350;-0.850;-3.431;-0.03;-0.57;-0.22;-1.31;-0.41;-7.10;-10.94;-5.32
70;1;0.350;-0.950;-3.454;-0.03;-0.48;-0.15;-1.02;-0.33;-7.14;-12.73;-4.44
71;1;0.350;-1.050;-3.477;-0.02;-0.41;-0.10;-0.86;-0.26;-6.95;-14.02;-3.90
72;1;0.350;-1.150;-3.500;-0.01;-0.33;-0.06;-0.68;-0.25;-6.67;-14.84;-3.62
73;1;0.350;-1.250;-3.523;0.00;-0.27;-0.04;-0.49;-0.31;-6.39;-15.35;-3.49
74;1;0.350;-1.350;-3.545;0.02;-0.22;-0.02;-0.41;-0.31;-6.13;-15.58;-3.47
75;1;0.350;-1.450;-3.568;0.04;-0.18;-0.01;-0.37;-0.30;-5.87;-15.56;-3.51
76;1;0.350;-1.550;-3.591;0.05;-0.15;-0.01;-0.34;-0.29;-5.62;-15.31;-3.61
77;1;0.350;-1.650;-3.614;0.07;-0.11;0.00;-0.31;-0.26;-5.40;-14.91;-3.67
78;1;0.350;-1.750;-3.637;0.09;-0.09;0.00;-0.30;-0.21;-5.22;-14.43;-3.67
79;1;0.350;-1.850;-3.660;0.11;-0.07;0.00;-0.28;-0.16;-5.07;-13.91;-3.60
80;1;0.350;-1.950;-3.682;0.12;-0.06;0.00;-0.25;-0.12;-4.96;-13.38;-3.44
81;1;0.450;-0.050;-3.274;-0.08;-0.20;-1.38;0.03;-0.33;23.01;29.52;-36.34
82;1;0.450;-0.150;-3.296;0.00;-0.55;-1.24;-1.36;-1.77;16.60;20.90;-30.06
83;1;0.450;-0.250;-3.318;0.01;-0.66;-1.03;-2.52;-1.54;10.30;14.71;-23.75
84;1;0.450;-0.350;-3.340;0.01;-0.69;-0.80;-2.70;-1.08;4.91;9.39;-18.10
85;1;0.450;-0.450;-3.362;0.01;-0.68;-0.60;-2.34;-0.76;0.81;4.70;-13.44
86;1;0.450;-0.550;-3.385;-0.01;-0.65;-0.44;-1.86;-0.54;-2.06;0.59;-9.85
87;1;0.450;-0.650;-3.407;-0.03;-0.60;-0.32;-1.42;-0.41;-3.90;-2.90;-7.22
88;1;0.450;-0.750;-3.429;-0.04;-0.54;-0.23;-1.07;-0.31;-4.99;-5.80;-5.37
89;1;0.450;-0.850;-3.451;-0.05;-0.47;-0.16;-0.79;-0.26;-5.56;-8.16;-4.12
90;1;0.450;-0.950;-3.473;-0.04;-0.41;-0.11;-0.65;-0.21;-5.79;-10.03;-3.31
91;1;0.450;-1.050;-3.495;-0.04;-0.34;-0.07;-0.49;-0.23;-5.81;-11.44;-2.83
92;1;0.450;-1.150;-3.518;-0.03;-0.29;-0.05;-0.32;-0.34;-5.77;-12.49;-2.58
93;1;0.450;-1.250;-3.540;-0.01;-0.24;-0.03;-0.27;-0.37;-5.69;-13.22;-2.50
94;1;0.450;-1.350;-3.562;0.00;-0.20;-0.02;-0.24;-0.36;-5.57;-13.67;-2.53
95;1;0.450;-1.450;-3.584;0.02;-0.16;-0.01;-0.22;-0.33;-5.42;-13.90;-2.61
96;1;0.450;-1.550;-3.606;0.04;-0.13;-0.01;-0.22;-0.31;-5.24;-13.92;-2.72
97;1;0.450;-1.650;-3.629;0.05;-0.10;-0.01;-0.23;-0.27;-5.05;-13.78;-2.82
98;1;0.450;-1.750;-3.651;0.07;-0.08;0.00;-0.23;-0.22;-4.86;-13.52;-2.86
