Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1181;1;-1.150;-1.050;-3.625;0.08;0.12;0.04;-0.11;0.25;5.06;18.01;-7.95
1182;1;-1.150;-1.150;-3.642;0.06;0.11;0.04;-0.13;0.22;4.75;16.43;-8.26
1183;1;-1.150;-1.250;-3.660;0.04;0.09;0.04;-0.15;0.20;4.43;15.05;-8.43
1184;1;-1.150;-1.350;-3.678;0.03;0.07;0.04;-0.17;0.18;4.10;13.90;-8.49
1185;1;-1.150;-1.450;-3.696;0.01;0.06;0.04;-0.18;0.16;3.77;12.96;-8.44
1186;1;-1.150;-1.550;-3.714;-0.01;0.04;0.04;-0.19;0.15;3.44;12.19;-8.30
1187;1;-1.150;-1.650;-3.731;-0.02;0.03;0.04;-0.19;0.13;3.09;11.57;-8.09
1188;1;-1.150;-1.750;-3.749;-0.04;0.02;0.04;-0.19;0.11;2.74;11.06;-7.81
1189;1;-1.150;-1.850;-3.767;-0.05;0.01;0.04;-0.18;0.10;2.39;10.63;-7.48
1190;1;-1.150;-1.950;-3.785;-0.06;0.00;0.04;-0.18;0.08;2.02;10.26;-7.12
1191;1;-1.250;-0.050;-3.471;-0.25;0.27;0.25;3.07;0.31;20.26;42.91;14.83
1192;1;-1.250;-0.150;-3.488;-0.10;0.26;0.16;2.25;0.27;14.42;40.94;8.87
1193;1;-1.250;-0.250;-3.505;0.00;0.23;0.11;1.42;0.28;10.80;37.97;4.65
1194;1;-1.250;-0.350;-3.523;0.05;0.22;0.08;0.84;0.30;8.76;35.07;1.57
1195;1;-1.250;-0.450;-3.540;0.08;0.20;0.06;0.54;0.31;7.60;32.17;-0.77
1196;1;-1.250;-0.550;-3.557;0.09;0.19;0.05;0.34;0.31;6.91;29.34;-2.59
1197;1;-1.250;-0.650;-3.574;0.10;0.17;0.04;0.21;0.30;6.43;26.67;-4.05
1198;1;-1.250;-0.750;-3.591;0.10;0.16;0.04;0.11;0.29;6.05;24.20;-5.22
1199;1;-1.250;-0.850;-3.609;0.10;0.14;0.04;0.04;0.27;5.72;21.96;-6.14
1200;1;-1.250;-0.950;-3.626;0.09;0.12;0.04;-0.02;0.25;5.40;19.94;-6.85
1201;1;-1.250;-1.050;-3.643;0.08;0.11;0.04;-0.07;0.22;5.08;18.17;-7.39
1202;1;-1.250;-1.150;-3.660;0.06;0.09;0.04;-0.10;0.20;4.74;16.63;-7.76
1203;1;-1.250;-1.250;-3.677;0.05;0.08;0.04;-0.13;0.18;4.41;15.32;-8.00
1204;1;-1.250;-1.350;-3.695;0.03;0.06;0.04;-0.16;0.16;4.07;14.22;-8.12
1205;1;-1.250;-1.450;-3.712;0.02;0.05;0.04;-0.17;0.14;3.72;13.30;-8.13
1206;1;-1.250;-1.550;-3.729;0.01;0.04;0.04;-0.18;0.12;3.35;12.55;-8.04
1207;1;-1.250;-1.650;-3.746;-0.01;0.03;0.04;-0.19;0.11;2.97;11.94;-7.86
1208;1;-1.250;-1.750;-3.763;-0.02;0.02;0.04;-0.19;0.09;2.59;11.44;-7.60
1209;1;-1.250;-1.850;-3.780;-0.04;0.01;0.04;-0.19;0.07;2.20;11.03;-7.29
1210;1;-1.250;-1.950;-3.798;-0.05;0.00;0.04;-0.19;0.06;1.81;10.67;-6.94
1211;1;-1.350;-0.050;-3.496;-0.25;0.16;0.15;2.39;0.18;17.06;37.67;13.29
1212;1;-1.350;-0.150;-3.512;-0.12;0.18;0.10;1.66;0.20;12.66;37.38;8.55
1213;1;-1.350;-0.250;-3.529;-0.03;0.17;0.07;1.07;0.21;9.87;35.53;4.84
1214;1;-1.350;-0.350;-3.545;0.02;0.17;0.05;0.74;0.23;8.33;33.37;2.13
1215;1;-1.350;-0.450;-3.562;0.05;0.16;0.04;0.51;0.26;7.41;30.92;-0.05
1216;1;-1.350;-0.550;-3.579;0.07;0.15;0.04;0.35;0.27;6.83;28.47;-1.82
1217;1;-1.350;-0.650;-3.595;0.08;0.14;0.04;0.24;0.26;6.39;26.06;-3.28
1218;1;-1.350;-0.750;-3.612;0.09;0.13;0.03;0.15;0.25;6.03;23.78;-4.48
1219;1;-1.350;-0.850;-3.628;0.09;0.12;0.03;0.08;0.23;5.69;21.68;-5.44
1220;1;-1.350;-0.950;-3.645;0.08;0.11;0.03;0.02;0.22;5.37;19.80;-6.21
1221;1;-1.350;-1.050;-3.661;0.07;0.09;0.03;-0.03;0.20;5.04;18.12;-6.81
1222;1;-1.350;-1.150;-3.678;0.06;0.08;0.03;-0.07;0.18;4.71;16.65;-7.25
1223;1;-1.350;-1.250;-3.695;0.05;0.07;0.03;-0.11;0.16;4.36;15.40;-7.54
1224;1;-1.350;-1.350;-3.711;0.04;0.06;0.03;-0.14;0.14;3.99;14.34;-7.72
1225;1;-1.350;-1.450;-3.728;0.03;0.04;0.03;-0.16;0.12;3.60;13.46;-7.77
1226;1;-1.350;-1.550;-3.744;0.02;0.03;0.04;-0.17;0.10;3.20;12.74;-7.72
1227;1;-1.350;-1.650;-3.761;0.00;0.02;0.04;-0.18;0.08;2.79;12.15;-7.57
1228;1;-1.350;-1.750;-3.777;-0.01;0.02;0.04;-0.19;0.06;2.37;11.67;-7.35
1229;1;-1.350;-1.850;-3.794;-0.02;0.01;0.04;-0.19;0.05;1.95;11.27;-7.06
1230;1;-1.350;-1.950;-3.810;-0.03;0.00;0.04;-0.20;0.04;1.54;10.93;-6.71
1231;1;-1.450;-0.050;-3.520;-0.24;0.09;0.09;1.72;0.10;14.47;32.79;12.08
1232;1;-1.450;-0.150;-3.536;-0.14;0.12;0.06;1.33;0.16;11.23;33.69;8.24
1233;1;-1.450;-0.250;-3.552;-0.07;0.13;0.05;0.93;0.14;9.10;32.91;5.13
1234;1;-1.450;-0.350;-3.568;-0.01;0.13;0.04;0.67;0.18;7.95;31.44;2.68
1235;1;-1.450;-0.450;-3.584;0.02;0.13;0.03;0.49;0.21;7.24;29.50;0.62
1236;1;-1.450;-0.550;-3.600;0.04;0.13;0.03;0.36;0.22;6.75;27.40;-1.11
1237;1;-1.450;-0.650;-3.616;0.06;0.12;0.03;0.27;0.22;6.34;25.27;-2.57
1238;1;-1.450;-0.750;-3.632;0.07;0.11;0.03;0.18;0.21;6.00;23.20;-3.79
1239;1;-1.450;-0.850;-3.648;0.08;0.10;0.03;0.11;0.20;5.67;21.27;-4.79
1240;1;-1.450;-0.950;-3.664;0.07;0.09;0.03;0.05;0.19;5.34;19.50;-5.61
1241;1;-1.450;-1.050;-3.680;0.07;0.08;0.03;0.00;0.17;5.00;17.91;-6.25
1242;1;-1.450;-1.150;-3.696;0.06;0.07;0.03;-0.05;0.15;4.64;16.52;-6.73
1243;1;-1.450;-1.250;-3.712;0.06;0.06;0.03;-0.09;0.13;4.26;15.33;-7.08
1244;1;-1.450;-1.350;-3.728;0.05;0.05;0.03;-0.11;0.11;3.86;14.32;-7.30
1245;1;-1.450;-1.450;-3.744;0.04;0.04;0.03;-0.14;0.09;3.43;13.47;-7.39
1246;1;-1.450;-1.550;-3.760;0.03;0.03;0.03;-0.16;0.07;3.00;12.78;-7.38
1247;1;-1.450;-1.650;-3.775;0.01;0.02;0.03;-0.17;0.06;2.55;12.22;-7.27
1248;1;-1.450;-1.750;-3.791;0.00;0.02;0.03;-0.18;0.04;2.11;11.76;-7.07
1249;1;-1.450;-1.850;-3.807;-0.01;0.01;0.03;-0.19;0.03;1.66;11.39;-6.80
1250;1;-1.450;-1.950;-3.823;-0.02;0.00;0.03;-0.20;0.02;1.22;11.07;-6.46
1251;1;-1.550;-0.050;-3.545;-0.26;0.06;0.06;1.31;-0.09;12.54;28.66;11.02
1252;1;-1.550;-0.150;-3.560;-0.16;0.08;0.04;1.15;-0.01;10.03;30.01;8.00
1253;1;-1.550;-0.250;-3.576;-0.09;0.09;0.03;0.81;0.08;8.48;30.14;5.45
1254;1;-1.550;-0.350;-3.591;-0.04;0.10;0.03;0.61;0.15;7.63;29.32;3.24
1255;1;-1.550;-0.450;-3.606;-0.01;0.11;0.02;0.48;0.18;7.07;27.88;1.27
1256;1;-1.550;-0.550;-3.622;0.02;0.11;0.02;0.38;0.19;6.63;26.15;-0.44
1257;1;-1.550;-0.650;-3.637;0.04;0.10;0.02;0.29;0.18;6.26;24.30;-1.90
1258;1;-1.550;-0.750;-3.652;0.05;0.10;0.02;0.21;0.18;5.92;22.46;-3.14
1259;1;-1.550;-0.850;-3.668;0.06;0.09;0.03;0.14;0.17;5.59;20.69;-4.17
1260;1;-1.550;-0.950;-3.683;0.06;0.08;0.03;0.08;0.16;5.25;19.05;-5.02
1261;1;-1.550;-1.050;-3.698;0.06;0.07;0.03;0.02;0.14;4.90;17.57;-5.70
1262;1;-1.550;-1.150;-3.714;0.06;0.06;0.03;-0.02;0.12;4.52;16.26;-6.24
1263;1;-1.550;-1.250;-3.729;0.06;0.05;0.03;-0.06;0.11;4.11;15.13;-6.63
1264;1;-1.550;-1.350;-3.744;0.05;0.05;0.03;-0.09;0.09;3.68;14.17;-6.89
1265;1;-1.550;-1.450;-3.760;0.04;0.04;0.03;-0.12;0.07;3.22;13.37;-7.02
1266;1;-1.550;-1.550;-3.775;0.03;0.03;0.03;-0.14;0.05;2.75;12.71;-7.05
1267;1;-1.550;-1.650;-3.790;0.02;0.02;0.03;-0.16;0.03;2.28;12.18;-6.96
1268;1;-1.550;-1.750;-3.805;0.01;0.02;0.03;-0.17;0.02;1.80;11.75;-6.79
1269;1;-1.550;-1.850;-3.821;0.00;0.01;0.03;-0.18;0.01;1.33;11.40;-6.53
1270;1;-1.550;-1.950;-3.836;-0.01;0.01;0.03;-0.19;0.00;0.86;11.11;-6.21
1271;1;-1.650;-0.050;-3.570;-0.25;0.03;0.04;1.00;-0.09;11.00;25.23;10.12
1272;1;-1.650;-0.150;-3.585;-0.17;0.05;0.02;0.84;-0.05;9.19;26.75;7.71
1273;1;-1.650;-0.250;-3.599;-0.11;0.07;0.02;0.69;0.09;8.09;27.44;5.64
1274;1;-1.650;-0.350;-3.614;-0.07;0.08;0.02;0.56;0.12;7.43;27.17;3.67
1275;1;-1.650;-0.450;-3.629;-0.03;0.09;0.02;0.47;0.14;6.93;26.14;1.82
1276;1;-1.650;-0.550;-3.643;0.00;0.09;0.02;0.39;0.15;6.52;24.74;0.16
1277;1;-1.650;-0.650;-3.658;0.02;0.09;0.02;0.31;0.15;6.16;23.18;-1.29
1278;1;-1.650;-0.750;-3.673;0.04;0.08;0.02;0.23;0.15;5.83;21.56;-2.53
1279;1;-1.650;-0.850;-3.687;0.05;0.08;0.02;0.16;0.14;5.50;19.98;-3.60
1280;1;-1.650;-0.950;-3.702;0.05;0.07;0.02;0.10;0.13;5.16;18.48;-4.48
1281;1;-1.650;-1.050;-3.717;0.06;0.06;0.03;0.05;0.11;4.78;17.12;-5.20
1282;1;-1.650;-1.150;-3.731;0.06;0.06;0.03;0.01;0.10;4.37;15.90;-5.78
1283;1;-1.650;-1.250;-3.746;0.06;0.05;0.03;-0.03;0.08;3.93;14.84;-6.21
1284;1;-1.650;-1.350;-3.761;0.05;0.04;0.03;-0.06;0.06;3.46;13.93;-6.50
1285;1;-1.650;-1.450;-3.775;0.05;0.04;0.03;-0.09;0.05;2.98;13.18;-6.67
1286;1;-1.650;-1.550;-3.790;0.04;0.03;0.03;-0.12;0.03;2.48;12.56;-6.73
1287;1;-1.650;-1.650;-3.805;0.03;0.03;0.03;-0.14;0.01;1.97;12.06;-6.67
1288;1;-1.650;-1.750;-3.820;0.02;0.02;0.04;-0.16;0.00;1.46;11.66;-6.52
1289;1;-1.650;-1.850;-3.834;0.02;0.02;0.04;-0.17;-0.01;0.96;11.34;-6.28
1290;1;-1.650;-1.950;-3.849;0.01;0.01;0.04;-0.18;-0.02;0.47;11.08;-5.97
1291;1;-1.750;-0.050;-3.595;-0.25;0.02;0.03;0.76;-0.05;9.90;22.33;9.31
1292;1;-1.750;-0.150;-3.609;-0.19;0.04;0.02;0.63;-0.08;8.69;24.06;7.41
1293;1;-1.750;-0.250;-3.623;-0.14;0.05;0.01;0.61;0.04;7.87;24.94;5.69
1294;1;-1.750;-0.350;-3.637;-0.10;0.06;0.01;0.53;0.08;7.32;25.06;3.97
1295;1;-1.750;-0.450;-3.651;-0.06;0.07;0.01;0.46;0.10;6.85;24.38;2.23
1296;1;-1.750;-0.550;-3.665;-0.03;0.07;0.01;0.39;0.11;6.45;23.28;0.63
1297;1;-1.750;-0.650;-3.679;0.00;0.07;0.01;0.31;0.12;6.10;21.98;-0.79
1298;1;-1.750;-0.750;-3.693;0.02;0.07;0.02;0.24;0.12;5.77;20.59;-2.03
1299;1;-1.750;-0.850;-3.707;0.03;0.07;0.02;0.18;0.11;5.42;19.19;-3.11
1300;1;-1.750;-0.950;-3.721;0.04;0.06;0.02;0.12;0.10;5.05;17.84;-4.01
1301;1;-1.750;-1.050;-3.735;0.05;0.06;0.03;0.08;0.09;4.64;16.59;-4.76
1302;1;-1.750;-1.150;-3.749;0.05;0.05;0.03;0.03;0.07;4.20;15.46;-5.37
1303;1;-1.750;-1.250;-3.763;0.05;0.05;0.03;-0.01;0.06;3.72;14.47;-5.83
1304;1;-1.750;-1.350;-3.777;0.05;0.04;0.03;-0.04;0.04;3.22;13.62;-6.16
1305;1;-1.750;-1.450;-3.791;0.05;0.04;0.03;-0.07;0.02;2.70;12.91;-6.36
1306;1;-1.750;-1.550;-3.805;0.04;0.04;0.03;-0.10;0.01;2.17;12.33;-6.44
1307;1;-1.750;-1.650;-3.820;0.04;0.03;0.04;-0.12;-0.01;1.63;11.87;-6.41
1308;1;-1.750;-1.750;-3.834;0.03;0.03;0.04;-0.14;-0.02;1.10;11.51;-6.28
1309;1;-1.750;-1.850;-3.848;0.03;0.02;0.04;-0.16;-0.03;0.57;11.22;-6.06
1310;1;-1.750;-1.950;-3.862;0.02;0.02;0.04;-0.17;-0.04;0.05;10.99;-5.75
1311;1;-1.850;-0.050;-3.619;-0.25;0.01;0.02;0.57;-0.04;9.17;19.89;8.63
1312;1;-1.850;-0.150;-3.633;-0.20;0.03;0.01;0.51;-0.10;8.39;21.78;7.14
1313;1;-1.850;-0.250;-3.646;-0.16;0.04;0.01;0.52;-0.02;7.75;22.71;5.65
1314;1;-1.850;-0.350;-3.660;-0.12;0.05;0.00;0.49;0.04;7.27;23.05;4.12
1315;1;-1.850;-0.450;-3.673;-0.08;0.06;0.01;0.44;0.06;6.82;22.65;2.51
1316;1;-1.850;-0.550;-3.686;-0.05;0.06;0.01;0.37;0.07;6.43;21.81;0.98
1317;1;-1.850;-0.650;-3.700;-0.02;0.06;0.01;0.31;0.09;6.07;20.75;-0.40
1318;1;-1.850;-0.750;-3.713;0.00;0.06;0.01;0.25;0.09;5.71;19.57;-1.62
1319;1;-1.850;-0.850;-3.727;0.02;0.06;0.02;0.19;0.08;5.33;18.34;-2.70
1320;1;-1.850;-0.950;-3.740;0.03;0.06;0.02;0.15;0.07;4.92;17.13;-3.62
1321;1;-1.850;-1.050;-3.754;0.04;0.06;0.02;0.10;0.06;4.47;16.00;-4.40
1322;1;-1.850;-1.150;-3.767;0.04;0.05;0.03;0.06;0.05;3.99;14.96;-5.02
1323;1;-1.850;-1.250;-3.780;0.05;0.05;0.03;0.02;0.03;3.48;14.04;-5.51
1324;1;-1.850;-1.350;-3.794;0.05;0.05;0.03;-0.01;0.02;2.95;13.25;-5.86
1325;1;-1.850;-1.450;-3.807;0.05;0.04;0.03;-0.04;0.00;2.39;12.59;-6.09
1326;1;-1.850;-1.550;-3.821;0.05;0.04;0.04;-0.07;-0.01;1.83;12.06;-6.19
1327;1;-1.850;-1.650;-3.834;0.04;0.04;0.04;-0.10;-0.02;1.26;11.63;-6.18
1328;1;-1.850;-1.750;-3.848;0.04;0.03;0.04;-0.12;-0.04;0.70;11.30;-6.07
1329;1;-1.850;-1.850;-3.861;0.04;0.03;0.04;-0.14;-0.05;0.15;11.04;-5.86
1330;1;-1.850;-1.950;-3.875;0.03;0.03;0.04;-0.15;-0.06;-0.39;10.85;-5.57
1331;1;-1.950;-0.050;-3.644;-0.25;0.01;0.02;0.43;-0.05;8.71;17.88;8.08
1332;1;-1.950;-0.150;-3.657;-0.22;0.02;0.01;0.43;-0.11;8.19;19.78;6.86
1333;1;-1.950;-0.250;-3.670;-0.18;0.03;0.00;0.43;-0.05;7.69;20.75;5.55
1334;1;-1.950;-0.350;-3.682;-0.14;0.04;0.00;0.44;0.00;7.26;21.18;4.15
1335;1;-1.950;-0.450;-3.695;-0.10;0.05;0.00;0.40;0.02;6.82;20.99;2.66
1336;1;-1.950;-0.550;-3.708;-0.07;0.05;0.00;0.35;0.04;6.42;20.38;1.22
1337;1;-1.950;-0.650;-3.721;-0.04;0.06;0.01;0.30;0.06;6.04;19.52;-0.12
1338;1;-1.950;-0.750;-3.734;-0.02;0.06;0.01;0.26;0.06;5.65;18.52;-1.32
1339;1;-1.950;-0.850;-3.746;0.00;0.06;0.02;0.21;0.06;5.23;17.45;-2.39
1340;1;-1.950;-0.950;-3.759;0.02;0.06;0.02;0.16;0.05;4.77;16.38;-3.32
1341;1;-1.950;-1.050;-3.772;0.03;0.06;0.02;0.12;0.04;4.28;15.35;-4.10
1342;1;-1.950;-1.150;-3.785;0.04;0.05;0.03;0.08;0.03;3.76;14.41;-4.74
1343;1;-1.950;-1.250;-3.798;0.04;0.05;0.03;0.04;0.01;3.21;13.56;-5.25
1344;1;-1.950;-1.350;-3.810;0.05;0.05;0.03;0.01;0.00;2.64;12.84;-5.62
1345;1;-1.950;-1.450;-3.823;0.05;0.05;0.04;-0.02;-0.02;2.06;12.23;-5.86
1346;1;-1.950;-1.550;-3.836;0.05;0.05;0.04;-0.05;-0.03;1.47;11.73;-5.99
1347;1;-1.950;-1.650;-3.849;0.05;0.04;0.04;-0.07;-0.04;0.87;11.34;-6.00
1348;1;-1.950;-1.750;-3.862;0.05;0.04;0.04;-0.10;-0.05;0.28;11.05;-5.90
1349;1;-1.950;-1.850;-3.875;0.04;0.04;0.04;-0.12;-0.06;-0.29;10.82;-5.71
1350;1;-1.950;-1.950;-3.887;0.04;0.04;0.04;-0.13;-0.07;-0.86;10.66;-5.43
1351;1;-0.200;-2.200;-3.723;-0.02;0.07;0.12;0.43;0.17;-1.44;-5.73;-1.33
1352;1;-0.200;-2.600;-3.818;0.02;0.04;0.11;0.56;0.17;-2.48;-4.90;-2.94
1353;1;-0.200;-3.000;-3.912;0.06;0.01;0.10;0.64;0.16;-5.11;-3.78;-4.91
1354;1;-0.200;-3.400;-4.008;0.09;-0.02;0.09;0.63;0.09;-9.46;-1.80;-6.27
1355;1;-0.200;-3.800;-4.102;0.11;-0.02;0.08;0.48;-0.10;-14.63;0.58;-4.35
1356;1;-0.600;-2.200;-3.767;-0.12;0.02;0.08;0.10;0.15;1.07;3.57;-5.55
1357;1;-0.600;-2.600;-3.852;-0.12;-0.02;0.08;0.19;0.13;-0.51;2.76;-5.49
1358;1;-0.600;-3.000;-3.938;-0.11;-0.04;0.07;0.25;0.09;-3.52;1.78;-6.18
1359;1;-0.600;-3.400;-4.023;-0.09;-0.06;0.07;0.27;-0.01;-9.09;1.13;-6.65
1360;1;-0.600;-3.800;-4.108;-0.05;-0.03;0.08;0.25;-0.17;-18.89;1.02;-4.10
1361;1;-1.000;-2.200;-3.813;-0.11;-0.01;0.05;-0.12;0.09;1.40;8.48;-6.38
1362;1;-1.000;-2.600;-3.888;-0.14;-0.04;0.05;-0.08;0.06;-0.32;6.91;-5.30
1363;1;-1.000;-3.000;-3.963;-0.15;-0.06;0.06;-0.04;0.02;-3.37;4.80;-4.94
1364;1;-1.000;-3.400;-4.037;-0.14;-0.06;0.07;0.00;-0.06;-9.64;2.62;-4.85
1365;1;-1.000;-3.800;-4.113;-0.11;-0.03;0.08;0.03;-0.17;-22.11;1.24;-2.89
1366;1;-1.400;-2.200;-3.858;-0.06;-0.01;0.04;-0.21;0.00;0.38;10.26;-5.60
1367;1;-1.400;-2.600;-3.922;-0.09;-0.03;0.04;-0.21;-0.02;-1.43;8.75;-3.92
1368;1;-1.400;-3.000;-3.987;-0.10;-0.04;0.05;-0.20;-0.03;-4.28;6.34;-2.81
1369;1;-1.400;-3.400;-4.052;-0.10;-0.05;0.07;-0.16;-0.06;-10.37;3.46;-2.44
1370;1;-1.400;-3.800;-4.117;-0.08;-0.03;0.07;-0.11;-0.14;-23.08;1.36;-1.55
1371;1;-1.800;-2.200;-3.902;0.01;0.02;0.04;-0.20;-0.07;-1.37;10.46;-4.67
1372;1;-1.800;-2.600;-3.957;-0.02;0.01;0.05;-0.23;-0.07;-3.27;9.41;-2.63
1373;1;-1.800;-3.000;-4.012;-0.03;0.00;0.06;-0.24;-0.05;-5.75;7.22;-0.94
1374;1;-1.800;-3.400;-4.068;-0.03;-0.02;0.07;-0.21;-0.04;-10.78;4.08;-0.33
1375;1;-1.800;-3.800;-4.122;-0.02;-0.02;0.06;-0.16;-0.09;-21.73;1.47;-0.41
1376;1;-2.200;-0.200;-3.723;-0.21;0.03;0.00;0.26;-0.12;7.82;16.29;5.72
1377;1;-2.200;-0.600;-3.767;-0.10;0.05;0.00;0.28;-0.02;6.11;16.74;0.79
1378;1;-2.200;-1.000;-3.813;-0.01;0.06;0.02;0.17;-0.01;3.95;13.92;-3.30
1379;1;-2.200;-1.400;-3.858;0.03;0.07;0.04;0.05;-0.04;1.44;11.32;-5.40
1380;1;-2.200;-1.800;-3.902;0.05;0.07;0.05;-0.05;-0.08;-1.11;10.11;-5.60
1381;1;-2.200;-2.200;-3.948;0.05;0.07;0.05;-0.13;-0.09;-3.42;9.85;-4.30
1382;1;-2.200;-2.600;-3.993;0.04;0.06;0.06;-0.17;-0.08;-5.37;9.43;-2.13
1383;1;-2.200;-3.000;-4.037;0.03;0.04;0.07;-0.19;-0.04;-7.34;7.78;0.02
1384;1;-2.200;-3.400;-4.082;0.03;0.01;0.07;-0.18;-0.01;-10.72;4.71;1.05
1385;1;-2.200;-3.800;-4.128;0.05;-0.01;0.06;-0.13;-0.05;-18.48;1.63;0.49
1386;1;-2.600;-0.200;-3.818;-0.20;0.06;-0.01;0.00;-0.17;6.54;11.40;5.27
1387;1;-2.600;-0.600;-3.852;-0.15;0.07;-0.01;0.18;-0.07;4.34;11.91;0.71
1388;1;-2.600;-1.000;-3.888;-0.06;0.08;0.02;0.19;-0.04;1.68;10.49;-3.07
1389;1;-2.600;-1.400;-3.922;0.00;0.10;0.03;0.12;-0.05;-0.99;8.92;-5.13
1390;1;-2.600;-1.800;-3.957;0.04;0.11;0.05;0.04;-0.05;-3.45;8.25;-5.49
1391;1;-2.600;-2.200;-3.993;0.06;0.11;0.06;-0.03;-0.05;-5.56;8.43;-4.46
1392;1;-2.600;-2.600;-4.028;0.06;0.10;0.06;-0.08;-0.03;-7.25;8.63;-2.49
1393;1;-2.600;-3.000;-4.063;0.06;0.08;0.07;-0.10;0.01;-8.59;7.77;-0.19
1394;1;-2.600;-3.400;-4.097;0.07;0.04;0.07;-0.09;0.04;-10.14;5.22;1.37
1395;1;-2.600;-3.800;-4.133;0.09;0.00;0.06;-0.05;-0.02;-14.04;2.16;0.94
1396;1;-3.000;-0.200;-3.912;-0.15;0.11;-0.03;-0.27;-0.16;1.10;7.21;5.29
1397;1;-3.000;-0.600;-3.938;-0.16;0.10;-0.02;0.06;-0.04;-1.37;7.22;0.79
1398;1;-3.000;-1.000;-3.963;-0.10;0.10;0.00;0.17;0.00;-3.69;6.58;-2.69
1399;1;-3.000;-1.400;-3.987;-0.04;0.11;0.02;0.16;0.02;-5.55;5.75;-4.62
1400;1;-3.000;-1.800;-4.012;0.01;0.12;0.03;0.11;0.03;-6.94;5.47;-5.13
1401;1;-3.000;-2.200;-4.037;0.04;0.13;0.04;0.06;0.05;-7.93;5.87;-4.56
1402;1;-3.000;-2.600;-4.063;0.05;0.12;0.05;0.02;0.06;-8.60;6.48;-3.22
1403;1;-3.000;-3.000;-4.088;0.05;0.09;0.06;-0.01;0.08;-8.95;6.49;-1.33
1404;1;-3.000;-3.400;-4.113;0.06;0.05;0.07;0.00;0.09;-8.88;4.99;0.55
1405;1;-3.000;-3.800;-4.137;0.08;0.00;0.05;0.05;0.01;-9.17;2.25;0.92
1406;1;-3.400;-0.200;-4.008;-0.09;0.13;-0.03;-0.46;0.02;-11.73;3.08;5.24
1407;1;-3.400;-0.600;-4.023;-0.16;0.10;-0.03;-0.03;0.06;-13.46;2.83;1.21
1408;1;-3.400;-1.000;-4.037;-0.13;0.09;-0.02;0.13;0.10;-14.13;2.57;-1.69
1409;1;-3.400;-1.400;-4.052;-0.07;0.09;-0.01;0.16;0.13;-13.79;2.23;-3.31
1410;1;-3.400;-1.800;-4.068;-0.02;0.09;0.00;0.13;0.15;-12.71;2.13;-3.86
1411;1;-3.400;-2.200;-4.082;0.00;0.09;0.01;0.09;0.16;-11.20;2.43;-3.75
1412;1;-3.400;-2.600;-4.097;0.02;0.09;0.02;0.05;0.16;-9.58;3.00;-3.28
1413;1;-3.400;-3.000;-4.113;0.02;0.07;0.03;0.03;0.16;-8.06;3.48;-2.43
1414;1;-3.400;-3.400;-4.128;0.02;0.04;0.04;0.05;0.14;-6.57;3.29;-1.08
1415;1;-3.400;-3.800;-4.142;0.03;0.01;0.04;0.10;0.04;-4.84;2.06;0.24
1416;1;-3.800;-0.200;-4.102;-0.07;0.06;-0.04;-0.41;0.22;-33.15;-0.20;3.10
1417;1;-3.800;-0.600;-4.108;-0.16;0.04;-0.05;-0.08;0.16;-33.86;-0.33;0.94
1418;1;-3.800;-1.000;-4.113;-0.15;0.03;-0.04;0.08;0.16;-31.56;-0.38;-0.47
1419;1;-3.800;-1.400;-4.117;-0.10;0.03;-0.03;0.12;0.17;-27.31;-0.45;-1.24
1420;1;-3.800;-1.800;-4.122;-0.05;0.03;-0.02;0.10;0.17;-22.11;-0.47;-1.50
1421;1;-3.800;-2.200;-4.128;-0.02;0.03;-0.01;0.06;0.17;-16.70;-0.43;-1.54
1422;1;-3.800;-2.600;-4.133;-0.01;0.03;0.00;0.02;0.16;-11.48;-0.31;-1.57
1423;1;-3.800;-3.000;-4.137;-0.01;0.02;0.00;0.00;0.14;-6.70;-0.15;-1.62
1424;1;-3.800;-3.400;-4.142;-0.02;0.01;0.01;0.00;0.11;-2.82;0.00;-1.52
1425;1;-3.800;-3.800;-4.148;-0.01;0.00;0.01;0.06;0.03;-0.82;0.54;-1.22
1426;1;-0.050;0.050;-3.175;3.01;20.97;-5.77;-6.45;-65.48;69.59;29.24;-38.46
1427;1;-0.050;0.150;-3.200;1.64;1.91;-3.02;-26.19;-6.25;31.97;18.27;-26.41
1428;1;-0.050;0.250;-3.224;0.86;0.06;-2.76;-14.95;5.51;19.62;0.05;-21.40
1429;1;-0.050;0.350;-3.249;0.21;-0.48;-2.38;-6.42;5.85;11.12;-10.22;-16.35
1430;1;-0.050;0.450;-3.274;-0.21;-0.73;-1.90;-1.09;5.20;4.08;-16.38;-12.16
1431;1;-0.050;0.550;-3.298;-0.34;-0.77;-1.51;1.72;4.35;-1.13;-19.61;-9.09
1432;1;-0.050;0.650;-3.323;-0.35;-0.70;-1.17;3.04;3.57;-4.73;-20.95;-6.80
1433;1;-0.050;0.750;-3.348;-0.30;-0.57;-0.89;3.46;2.87;-6.94;-21.00;-5.08
1434;1;-0.050;0.850;-3.372;-0.23;-0.44;-0.65;3.34;2.24;-7.99;-20.11;-3.78
1435;1;-0.050;0.950;-3.397;-0.16;-0.31;-0.46;2.94;1.68;-8.18;-18.52;-2.77
