element_number;x[m];y[m];t[mm]
221.0;0.375;-0.875;121.254059895
222.0;0.375;-0.625;159.76899307
223.0;0.375;-0.375;207.42654812
224.0;0.375;-0.125;264.382588484
225.0;0.625;-3.375;60.164873675
226.0;0.625;-3.125;60.1280078698
227.0;0.625;-2.875;60.1282576672
228.0;0.625;-2.625;60.1322064346
229.0;0.625;-2.375;60.1351145312
230.0;0.625;-2.125;60.1303436656
231.0;0.625;-1.875;60.1456462125
232.0;0.625;-1.625;60.0655604923
233.0;0.625;-1.375;61.763712022
234.0;0.625;-1.125;72.0241022645
235.0;0.625;-0.875;91.9714399302
236.0;0.625;-0.625;121.245342361
237.0;0.625;-0.375;159.768757798
238.0;0.625;-0.125;207.356570697
239.0;0.875;-3.375;60.1597111849
240.0;0.875;-3.125;60.1296364961
241.0;0.875;-2.875;60.1280679085
242.0;0.875;-2.625;60.129686571
243.0;0.875;-2.375;60.1287577487
244.0;0.875;-2.125;60.1294865921
245.0;0.875;-1.875;60.1272369282
246.0;0.875;-1.625;60.1473961506
247.0;0.875;-1.375;60.0482694677
248.0;0.875;-1.125;61.6856173091
249.0;0.875;-0.875;72.0455217019
250.0;0.875;-0.625;91.9708062819
251.0;0.875;-0.375;121.254611712
252.0;0.875;-0.125;159.816177774
253.0;1.125;-3.375;60.1518522205
254.0;1.125;-3.125;60.1297852008
255.0;1.125;-2.875;60.1284910439
256.0;1.125;-2.625;60.1299755421
257.0;1.125;-2.375;60.1296803852
258.0;1.125;-2.125;60.1296137087
259.0;1.125;-1.875;60.1298627576
260.0;1.125;-1.625;60.1286247707
261.0;1.125;-1.375;60.1448549994
262.0;1.125;-1.125;60.1292214033
263.0;1.125;-0.875;61.685658626
264.0;1.125;-0.625;72.0238282703
265.0;1.125;-0.375;91.9815992669
266.0;1.125;-0.125;121.285326569
267.0;1.375;-3.375;60.1481056832
268.0;1.375;-3.125;60.1293226737
269.0;1.375;-2.875;60.1287808288
270.0;1.375;-2.625;60.1299920354
271.0;1.375;-2.375;60.1297919584
272.0;1.375;-2.125;60.1298221137
273.0;1.375;-1.875;60.1296624163
274.0;1.375;-1.625;60.130404259
275.0;1.375;-1.375;60.1250174778
276.0;1.375;-1.125;60.1448588347
277.0;1.375;-0.875;60.0483093752
278.0;1.375;-0.625;61.7635413479
279.0;1.375;-0.375;72.0321136845
280.0;1.375;-0.125;92.0072905518
281.0;1.625;-3.375;60.1448815347
282.0;1.625;-3.125;60.1296835872
283.0;1.625;-2.875;60.1289022221
284.0;1.625;-2.625;60.1299057124
285.0;1.625;-2.375;60.129732098
286.0;1.625;-2.125;60.1297197522
287.0;1.625;-1.875;60.1297462788
288.0;1.625;-1.625;60.129690971
289.0;1.625;-1.375;60.1304046709
290.0;1.625;-1.125;60.1286261342
291.0;1.625;-0.875;60.1474197831
292.0;1.625;-0.625;60.0654272303
293.0;1.625;-0.375;61.6639133646
294.0;1.625;-0.125;72.0569238137
295.0;1.875;-3.375;60.1419941816
296.0;1.875;-3.125;60.1297488828
297.0;1.875;-2.875;60.1290515068
298.0;1.875;-2.625;60.1298731138
299.0;1.875;-2.375;60.1297388012
300.0;1.875;-2.125;60.1297287971
301.0;1.875;-1.875;60.1297316594
302.0;1.875;-1.625;60.1297457384
303.0;1.875;-1.375;60.1296628738
304.0;1.875;-1.125;60.1298634097
305.0;1.875;-0.875;60.1272552135
306.0;1.875;-0.625;60.1455405971
307.0;1.875;-0.375;60.1239719382
308.0;1.875;-0.125;61.6918796165
309.0;2.125;-3.375;60.1394638192
310.0;2.125;-3.125;60.1295717571
311.0;2.125;-2.875;60.1292042087
312.0;2.125;-2.625;60.1298365142
313.0;2.125;-2.375;60.1297297689
314.0;2.125;-2.125;60.1297202323
315.0;2.125;-1.875;60.1297247598
316.0;2.125;-1.625;60.1297151761
317.0;2.125;-1.375;60.1298188964
318.0;2.125;-1.125;60.129610104
319.0;2.125;-0.875;60.1294986528
320.0;2.125;-0.625;60.1302570024
321.0;2.125;-0.375;60.1471047529
322.0;2.125;-0.125;59.9182273311
323.0;2.375;-3.375;60.1370986588
324.0;2.375;-3.125;60.1298807706
325.0;2.375;-2.875;60.129318223
326.0;2.375;-2.625;60.1298223169
327.0;2.375;-2.375;60.1297510667
328.0;2.375;-2.125;60.1297311341
329.0;2.375;-1.875;60.1297365497
330.0;2.375;-1.625;60.1297292635
331.0;2.375;-1.375;60.1297902305
332.0;2.375;-1.125;60.1296783438
333.0;2.375;-0.875;60.1287678234
334.0;2.375;-0.625;60.1350381785
335.0;2.375;-0.375;60.1279125065
336.0;2.375;-0.125;60.0606822561
337.0;2.625;-3.375;60.1349977465
338.0;2.625;-3.125;60.1298299887
339.0;2.625;-2.875;60.1294359046
340.0;2.625;-2.625;60.1298370895
341.0;2.625;-2.375;60.1298207829
342.0;2.625;-2.125;60.1298359638
343.0;2.625;-1.875;60.1298692718
344.0;2.625;-1.625;60.1299012196
345.0;2.625;-1.375;60.1299883375
346.0;2.625;-1.125;60.1299713206
347.0;2.625;-0.875;60.1296931823
348.0;2.625;-0.625;60.1321382185
349.0;2.625;-0.375;60.1301988762
350.0;2.625;-0.125;60.1008269276
351.0;2.875;-3.375;60.1328009315
352.0;2.875;-3.125;60.129684295
