Knoten;;Bezugs-;Koordinaten-;Knotenkoordinaten;;;
Nr.;Knotentyp;Knoten;System;X [m];Y [m];Z [m];Kommentar
152;Standard;0;Kartesisch;0.700;-0.400;-3.408;
153;Standard;0;Kartesisch;0.700;-0.500;-3.428;
154;Standard;0;Kartesisch;0.700;-0.600;-3.449;
155;Standard;0;Kartesisch;0.700;-0.700;-3.469;
156;Standard;0;Kartesisch;0.700;-0.800;-3.490;
157;Standard;0;Kartesisch;0.700;-0.900;-3.511;
158;Standard;0;Kartesisch;0.700;-1.000;-3.531;
159;Standard;0;Kartesisch;0.700;-1.100;-3.552;
160;Standard;0;Kartesisch;0.700;-1.200;-3.573;
161;Standard;0;Kartesisch;0.700;-1.300;-3.593;
162;Standard;0;Kartesisch;0.700;-1.400;-3.614;
163;Standard;0;Kartesisch;0.700;-1.500;-3.634;
164;Standard;0;Kartesisch;0.700;-1.600;-3.655;
165;Standard;0;Kartesisch;0.700;-1.700;-3.676;
166;Standard;0;Kartesisch;0.700;-1.800;-3.696;
167;Standard;0;Kartesisch;0.700;-1.900;-3.717;
168;Standard;0;Kartesisch;0.700;-2.000;-3.738;
169;Standard;0;Kartesisch;0.800;0.000;-3.350;
170;Standard;0;Kartesisch;0.800;-0.100;-3.370;
171;Standard;0;Kartesisch;0.800;-0.200;-3.390;
172;Standard;0;Kartesisch;0.800;-0.300;-3.410;
173;Standard;0;Kartesisch;0.800;-0.400;-3.430;
174;Standard;0;Kartesisch;0.800;-0.500;-3.450;
175;Standard;0;Kartesisch;0.800;-0.600;-3.470;
176;Standard;0;Kartesisch;0.800;-0.700;-3.490;
177;Standard;0;Kartesisch;0.800;-0.800;-3.510;
178;Standard;0;Kartesisch;0.800;-0.900;-3.530;
179;Standard;0;Kartesisch;0.800;-1.000;-3.550;
180;Standard;0;Kartesisch;0.800;-1.100;-3.570;
181;Standard;0;Kartesisch;0.800;-1.200;-3.590;
182;Standard;0;Kartesisch;0.800;-1.300;-3.610;
183;Standard;0;Kartesisch;0.800;-1.400;-3.630;
184;Standard;0;Kartesisch;0.800;-1.500;-3.650;
185;Standard;0;Kartesisch;0.800;-1.600;-3.670;
186;Standard;0;Kartesisch;0.800;-1.700;-3.690;
187;Standard;0;Kartesisch;0.800;-1.800;-3.710;
188;Standard;0;Kartesisch;0.800;-1.900;-3.730;
189;Standard;0;Kartesisch;0.800;-2.000;-3.750;
190;Standard;0;Kartesisch;0.900;0.000;-3.375;
191;Standard;0;Kartesisch;0.900;-0.100;-3.394;
192;Standard;0;Kartesisch;0.900;-0.200;-3.414;
193;Standard;0;Kartesisch;0.900;-0.300;-3.433;
194;Standard;0;Kartesisch;0.900;-0.400;-3.453;
195;Standard;0;Kartesisch;0.900;-0.500;-3.472;
196;Standard;0;Kartesisch;0.900;-0.600;-3.491;
197;Standard;0;Kartesisch;0.900;-0.700;-3.511;
198;Standard;0;Kartesisch;0.900;-0.800;-3.530;
199;Standard;0;Kartesisch;0.900;-0.900;-3.549;
200;Standard;0;Kartesisch;0.900;-1.000;-3.569;
201;Standard;0;Kartesisch;0.900;-1.100;-3.588;
202;Standard;0;Kartesisch;0.900;-1.200;-3.608;
203;Standard;0;Kartesisch;0.900;-1.300;-3.627;
204;Standard;0;Kartesisch;0.900;-1.400;-3.646;
205;Standard;0;Kartesisch;0.900;-1.500;-3.666;
206;Standard;0;Kartesisch;0.900;-1.600;-3.685;
207;Standard;0;Kartesisch;0.900;-1.700;-3.704;
208;Standard;0;Kartesisch;0.900;-1.800;-3.724;
209;Standard;0;Kartesisch;0.900;-1.900;-3.743;
210;Standard;0;Kartesisch;0.900;-2.000;-3.763;
211;Standard;0;Kartesisch;1.000;0.000;-3.400;
212;Standard;0;Kartesisch;1.000;-0.100;-3.419;
213;Standard;0;Kartesisch;1.000;-0.200;-3.438;
214;Standard;0;Kartesisch;1.000;-0.300;-3.456;
215;Standard;0;Kartesisch;1.000;-0.400;-3.475;
