node_number;x[m];y[m];z[m]
327.0;1.5;-1.1;-3.38882355237
328.0;1.5;-1.2;-3.41063570861
329.0;1.5;-1.3;-3.43245627977
330.0;1.5;-1.4;-3.4542800542
331.0;1.5;-1.5;-3.47610245214
332.0;1.5;-1.6;-3.4979255216
333.0;1.5;-1.7;-3.51975099094
334.0;1.5;-1.8;-3.54157603787
335.0;1.5;-1.9;-3.56339685635
336.0;1.5;-2.0;-3.58521356698
337.0;1.6;0.0;-3.18425332207
338.0;1.6;-0.1;-3.20445444397
339.0;1.6;-0.2;-3.22551553782
340.0;1.6;-0.3;-3.24668967467
341.0;1.6;-0.4;-3.26767180963
342.0;1.6;-0.5;-3.28855667204
343.0;1.6;-0.6;-3.30946769983
344.0;1.6;-0.7;-3.33040426025
345.0;1.6;-0.8;-3.35134451127
346.0;1.6;-0.9;-3.3722896355
347.0;1.6;-1.0;-3.39323545574
348.0;1.6;-1.1;-3.41417491282
349.0;1.6;-1.2;-3.43511070081
350.0;1.6;-1.3;-3.45604840871
351.0;1.6;-1.4;-3.47698761013
352.0;1.6;-1.5;-3.4979255216
353.0;1.6;-1.6;-3.51886406763
354.0;1.6;-1.7;-3.53980707605
355.0;1.6;-1.8;-3.56075054812
356.0;1.6;-1.9;-3.58168413973
357.0;1.6;-2.0;-3.60260880671
358.0;1.7;0.0;-3.21871851106
359.0;1.7;-0.1;-3.23859142086
360.0;1.7;-0.2;-3.25899309685
361.0;1.7;-0.3;-3.27926248399
362.0;1.7;-0.4;-3.29923239311
363.0;1.7;-0.5;-3.31914615761
364.0;1.7;-0.6;-3.33919287774
365.0;1.7;-0.7;-3.35931029525
366.0;1.7;-0.8;-3.37939005312
367.0;1.7;-0.9;-3.39942860892
368.0;1.7;-1.0;-3.41946883104
369.0;1.7;-1.1;-3.43952445398
370.0;1.7;-1.2;-3.45958405471
371.0;1.7;-1.3;-3.4796402811
372.0;1.7;-1.4;-3.49969515172
373.0;1.7;-1.5;-3.51975099094
374.0;1.7;-1.6;-3.53980707605
375.0;1.7;-1.7;-3.55986213692
376.0;1.7;-1.8;-3.57991467603
377.0;1.7;-1.9;-3.59996390186
378.0;1.7;-2.0;-3.62001797045
379.0;1.8;0.0;-3.25384818555
380.0;1.8;-0.1;-3.27294623875
381.0;1.8;-0.2;-3.29234126791
382.0;1.8;-0.3;-3.31163958533
383.0;1.8;-0.4;-3.33075127944
384.0;1.8;-0.5;-3.34982101391
385.0;1.8;-0.6;-3.36897985115
386.0;1.8;-0.7;-3.38820098725
387.0;1.8;-0.8;-3.40739881692
388.0;1.8;-0.9;-3.42655609928
389.0;1.8;-1.0;-3.44570996696
390.0;1.8;-1.1;-3.46488108542
391.0;1.8;-1.2;-3.48405869187
392.0;1.8;-1.3;-3.5032307837
393.0;1.8;-1.4;-3.52240099006
394.0;1.8;-1.5;-3.54157603787
395.0;1.8;-1.6;-3.56075054812
396.0;1.8;-1.7;-3.57991467603
397.0;1.8;-1.8;-3.59907330101
398.0;1.8;-1.9;-3.61824689101
399.0;1.8;-2.0;-3.63745329039
400.0;1.9;0.0;-3.28910733009
401.0;1.9;-0.1;-3.30727439164
402.0;1.9;-0.2;-3.32562234293
403.0;1.9;-0.3;-3.3439687059
404.0;1.9;-0.4;-3.36225750823
405.0;1.9;-0.5;-3.38051254589
406.0;1.9;-0.6;-3.39878816847
407.0;1.9;-0.7;-3.41709428173
408.0;1.9;-0.8;-3.43539558553
409.0;1.9;-0.9;-3.45367553075
410.0;1.9;-1.0;-3.47195209765
411.0;1.9;-1.1;-3.49024057559
412.0;1.9;-1.2;-3.50853465655
413.0;1.9;-1.3;-3.52682358322
414.0;1.9;-1.4;-3.54510884613
415.0;1.9;-1.5;-3.56339685635
416.0;1.9;-1.6;-3.58168413974
417.0;1.9;-1.7;-3.59996390186
418.0;1.9;-1.8;-3.61824689101
419.0;1.9;-1.9;-3.63656113004
420.0;1.9;-2.0;-3.65492546104
421.0;2.0;0.0;-3.32423015749
422.0;2.0;-0.1;-3.34150921838
423.0;2.0;-0.2;-3.35893200604
424.0;2.0;-0.3;-3.37636844265
425.0;2.0;-0.4;-3.39378406336
426.0;2.0;-0.5;-3.41118099859
427.0;2.0;-0.6;-3.42857973765
428.0;2.0;-0.7;-3.44598953183
429.0;2.0;-0.8;-3.46339850627
430.0;2.0;-0.9;-3.48079794449
431.0;2.0;-1.0;-3.49819493666
432.0;2.0;-1.1;-3.51559879325
433.0;2.0;-1.2;-3.53300905904
434.0;2.0;-1.3;-3.55041821986
435.0;2.0;-1.4;-3.56781961693
436.0;2.0;-1.5;-3.58521356698
