element_number;x[m];y[m];t[mm]
679.0;1.95;1.35;60.1297117801
680.0;1.95;1.45;60.1297181663
681.0;1.95;1.55;60.1297742366
682.0;1.95;1.65;60.1297657573
683.0;1.95;1.75;60.1296793206
684.0;1.95;1.85;60.1296513455
685.0;1.95;1.95;60.1297953715
686.0;1.95;2.05;60.1303212482
687.0;1.95;2.15;60.1310887655
688.0;1.95;2.25;60.1281240749
689.0;1.95;2.35;60.123878696
690.0;1.95;2.45;60.1324437223
691.0;1.95;2.55;60.1440311564
692.0;1.95;2.65;60.1570890711
693.0;1.95;2.75;60.1221291322
694.0;1.95;2.85;60.0186607406
695.0;1.95;2.95;60.3549925766
696.0;1.95;3.05;61.7701712048
697.0;1.95;3.15;64.6279409941
698.0;1.95;3.25;69.147699809
699.0;1.95;3.35;75.2793112284
700.0;1.95;3.45;82.9177294212
701.0;2.05;0.05;60.1518165177
702.0;2.05;0.15;60.1402484853
703.0;2.05;0.25;60.1211308605
704.0;2.05;0.35;60.1274062513
705.0;2.05;0.45;60.1326350675
706.0;2.05;0.55;60.1301063885
707.0;2.05;0.65;60.1287701553
708.0;2.05;0.75;60.1297483573
709.0;2.05;0.85;60.1300165909
710.0;2.05;0.95;60.129713899
711.0;2.05;1.05;60.1296661505
712.0;2.05;1.15;60.1297748728
713.0;2.05;1.25;60.1297683821
714.0;2.05;1.35;60.1297600842
715.0;2.05;1.45;60.1297504838
716.0;2.05;1.55;60.1297711659
717.0;2.05;1.65;60.1297215561
718.0;2.05;1.75;60.1296546365
719.0;2.05;1.85;60.1298826785
720.0;2.05;1.95;60.1303210781
721.0;2.05;2.05;60.129456818
722.0;2.05;2.15;60.1288610613
723.0;2.05;2.25;60.1286500474
724.0;2.05;2.35;60.1294035521
725.0;2.05;2.45;60.1471292076
726.0;2.05;2.55;60.136749391
727.0;2.05;2.65;60.0825665457
728.0;2.05;2.75;60.1198296944
729.0;2.05;2.85;60.3968152014
730.0;2.05;2.95;61.6496774035
731.0;2.05;3.05;64.6257663394
732.0;2.05;3.15;69.1977148038
733.0;2.05;3.25;75.2583297611
734.0;2.05;3.35;82.8814861032
735.0;2.05;3.45;92.0262253581
736.0;2.15;0.05;60.1524735058
737.0;2.15;0.15;60.1411951211
