Fläche;Rasterpunkt-Koordinaten [m];;
Nr.;X;Y;Z
438;1.250;1.750;-3.160
439;1.250;1.850;-3.160
440;1.250;1.950;-3.160
441;1.250;2.050;-3.160
442;1.250;2.150;-3.160
443;1.250;2.250;-3.160
444;1.250;2.350;-3.160
445;1.250;2.450;-3.160
446;1.250;2.550;-3.160
447;1.250;2.650;-3.160
448;1.250;2.750;-3.160
449;1.250;2.850;-3.160
450;1.250;2.950;-3.160
451;1.250;3.050;-3.160
452;1.250;3.150;-3.160
453;1.250;3.250;-3.160
454;1.250;3.350;-3.160
455;1.250;3.450;-3.160
456;1.350;0.050;-3.160
457;1.350;0.150;-3.160
458;1.350;0.250;-3.160
459;1.350;0.350;-3.160
460;1.350;0.450;-3.160
461;1.350;0.550;-3.160
462;1.350;0.650;-3.160
463;1.350;0.750;-3.160
464;1.350;0.850;-3.160
465;1.350;0.950;-3.160
466;1.350;1.050;-3.160
467;1.350;1.150;-3.160
468;1.350;1.250;-3.160
469;1.350;1.350;-3.160
470;1.350;1.450;-3.160
471;1.350;1.550;-3.160
472;1.350;1.650;-3.160
473;1.350;1.750;-3.160
474;1.350;1.850;-3.160
475;1.350;1.950;-3.160
476;1.350;2.050;-3.160
477;1.350;2.150;-3.160
478;1.350;2.250;-3.160
479;1.350;2.350;-3.160
480;1.350;2.450;-3.160
481;1.350;2.550;-3.160
482;1.350;2.650;-3.160
483;1.350;2.750;-3.160
484;1.350;2.850;-3.160
485;1.350;2.950;-3.160
486;1.350;3.050;-3.160
487;1.350;3.150;-3.160
488;1.350;3.250;-3.160
489;1.350;3.350;-3.160
490;1.350;3.450;-3.160
491;1.450;0.050;-3.160
492;1.450;0.150;-3.160
493;1.450;0.250;-3.160
494;1.450;0.350;-3.160
495;1.450;0.450;-3.160
496;1.450;0.550;-3.160
497;1.450;0.650;-3.160
498;1.450;0.750;-3.160
499;1.450;0.850;-3.160
500;1.450;0.950;-3.160
501;1.450;1.050;-3.160
502;1.450;1.150;-3.160
503;1.450;1.250;-3.160
504;1.450;1.350;-3.160
505;1.450;1.450;-3.160
506;1.450;1.550;-3.160
507;1.450;1.650;-3.160
508;1.450;1.750;-3.160
509;1.450;1.850;-3.160
510;1.450;1.950;-3.160
511;1.450;2.050;-3.160
512;1.450;2.150;-3.160
513;1.450;2.250;-3.160
514;1.450;2.350;-3.160
515;1.450;2.450;-3.160
516;1.450;2.550;-3.160
517;1.450;2.650;-3.160
518;1.450;2.750;-3.160
519;1.450;2.850;-3.160
520;1.450;2.950;-3.160
521;1.450;3.050;-3.160
522;1.450;3.150;-3.160
523;1.450;3.250;-3.160
524;1.450;3.350;-3.160
525;1.450;3.450;-3.160
526;1.550;0.050;-3.160
527;1.550;0.150;-3.160
528;1.550;0.250;-3.160
529;1.550;0.350;-3.160
530;1.550;0.450;-3.160
531;1.550;0.550;-3.160
532;1.550;0.650;-3.160
533;1.550;0.750;-3.160
534;1.550;0.850;-3.160
535;1.550;0.950;-3.160
536;1.550;1.050;-3.160
537;1.550;1.150;-3.160
538;1.550;1.250;-3.160
539;1.550;1.350;-3.160
540;1.550;1.450;-3.160
541;1.550;1.550;-3.160
542;1.550;1.650;-3.160
543;1.550;1.750;-3.160
544;1.550;1.850;-3.160
545;1.550;1.950;-3.160
