Fläche;Rasterpunkt-Koordinaten [m];;
Nr.;X;Y;Z
926;2.650;1.550;-3.160
927;2.650;1.650;-3.160
928;2.650;1.750;-3.160
929;2.650;1.850;-3.160
930;2.650;1.950;-3.160
931;2.650;2.050;-3.160
932;2.650;2.150;-3.160
933;2.650;2.250;-3.160
934;2.650;2.350;-3.160
935;2.650;2.450;-3.160
936;2.650;2.550;-3.160
937;2.650;2.650;-3.160
938;2.650;2.750;-3.160
939;2.650;2.850;-3.160
940;2.650;2.950;-3.160
941;2.650;3.050;-3.160
942;2.650;3.150;-3.160
943;2.650;3.250;-3.160
944;2.650;3.350;-3.160
945;2.650;3.450;-3.160
946;2.750;0.050;-3.160
947;2.750;0.150;-3.160
948;2.750;0.250;-3.160
949;2.750;0.350;-3.160
950;2.750;0.450;-3.160
951;2.750;0.550;-3.160
952;2.750;0.650;-3.160
953;2.750;0.750;-3.160
954;2.750;0.850;-3.160
955;2.750;0.950;-3.160
956;2.750;1.050;-3.160
957;2.750;1.150;-3.160
958;2.750;1.250;-3.160
959;2.750;1.350;-3.160
960;2.750;1.450;-3.160
961;2.750;1.550;-3.160
962;2.750;1.650;-3.160
963;2.750;1.750;-3.160
964;2.750;1.850;-3.160
965;2.750;1.950;-3.160
966;2.750;2.050;-3.160
967;2.750;2.150;-3.160
968;2.750;2.250;-3.160
969;2.750;2.350;-3.160
970;2.750;2.450;-3.160
971;2.750;2.550;-3.160
972;2.750;2.650;-3.160
973;2.750;2.750;-3.160
974;2.750;2.850;-3.160
975;2.750;2.950;-3.160
976;2.750;3.050;-3.160
977;2.750;3.150;-3.160
978;2.750;3.250;-3.160
979;2.750;3.350;-3.160
980;2.750;3.450;-3.160
981;2.850;0.050;-3.160
982;2.850;0.150;-3.160
983;2.850;0.250;-3.160
984;2.850;0.350;-3.160
985;2.850;0.450;-3.160
986;2.850;0.550;-3.160
987;2.850;0.650;-3.160
988;2.850;0.750;-3.160
989;2.850;0.850;-3.160
990;2.850;0.950;-3.160
991;2.850;1.050;-3.160
992;2.850;1.150;-3.160
993;2.850;1.250;-3.160
994;2.850;1.350;-3.160
995;2.850;1.450;-3.160
996;2.850;1.550;-3.160
997;2.850;1.650;-3.160
998;2.850;1.750;-3.160
999;2.850;1.850;-3.160
1000;2.850;1.950;-3.160
1001;2.850;2.050;-3.160
1002;2.850;2.150;-3.160
1003;2.850;2.250;-3.160
1004;2.850;2.350;-3.160
1005;2.850;2.450;-3.160
1006;2.850;2.550;-3.160
1007;2.850;2.650;-3.160
1008;2.850;2.750;-3.160
1009;2.850;2.850;-3.160
1010;2.850;2.950;-3.160
1011;2.850;3.050;-3.160
1012;2.850;3.150;-3.160
1013;2.850;3.250;-3.160
1014;2.850;3.350;-3.160
1015;2.850;3.450;-3.160
1016;2.950;0.050;-3.160
1017;2.950;0.150;-3.160
1018;2.950;0.250;-3.160
1019;2.950;0.350;-3.160
1020;2.950;0.450;-3.160
1021;2.950;0.550;-3.160
1022;2.950;0.650;-3.160
1023;2.950;0.750;-3.160
1024;2.950;0.850;-3.160
1025;2.950;0.950;-3.160
1026;2.950;1.050;-3.160
1027;2.950;1.150;-3.160
1028;2.950;1.250;-3.160
1029;2.950;1.350;-3.160
1030;2.950;1.450;-3.160
1031;2.950;1.550;-3.160
1032;2.950;1.650;-3.160
1033;2.950;1.750;-3.160
1034;2.950;1.850;-3.160
1035;2.950;1.950;-3.160
1036;2.950;2.050;-3.160
1037;2.950;2.150;-3.160
1038;2.950;2.250;-3.160
1039;2.950;2.350;-3.160
1040;2.950;2.450;-3.160
1041;2.950;2.550;-3.160
1042;2.950;2.650;-3.160
1043;2.950;2.750;-3.160
1044;2.950;2.850;-3.160
1045;2.950;2.950;-3.160
1046;2.950;3.050;-3.160
1047;2.950;3.150;-3.160
1048;2.950;3.250;-3.160
1049;2.950;3.350;-3.160
1050;2.950;3.450;-3.160
1051;3.050;0.050;-3.160
1052;3.050;0.150;-3.160
1053;3.050;0.250;-3.160
1054;3.050;0.350;-3.160
1055;3.050;0.450;-3.160
1056;3.050;0.550;-3.160
1057;3.050;0.650;-3.160
1058;3.050;0.750;-3.160
1059;3.050;0.850;-3.160
1060;3.050;0.950;-3.160
1061;3.050;1.050;-3.160
1062;3.050;1.150;-3.160
1063;3.050;1.250;-3.160
1064;3.050;1.350;-3.160
1065;3.050;1.450;-3.160
1066;3.050;1.550;-3.160
1067;3.050;1.650;-3.160
1068;3.050;1.750;-3.160
1069;3.050;1.850;-3.160
1070;3.050;1.950;-3.160
1071;3.050;2.050;-3.160
1072;3.050;2.150;-3.160
1073;3.050;2.250;-3.160
1074;3.050;2.350;-3.160
1075;3.050;2.450;-3.160
1076;3.050;2.550;-3.160
1077;3.050;2.650;-3.160
1078;3.050;2.750;-3.160
1079;3.050;2.850;-3.160
1080;3.050;2.950;-3.160
1081;3.050;3.050;-3.160
1082;3.050;3.150;-3.160
1083;3.050;3.250;-3.160
1084;3.050;3.350;-3.160
1085;3.050;3.450;-3.160
1086;3.150;0.050;-3.160
1087;3.150;0.150;-3.160
1088;3.150;0.250;-3.160
1089;3.150;0.350;-3.160
1090;3.150;0.450;-3.160
1091;3.150;0.550;-3.160
1092;3.150;0.650;-3.160
1093;3.150;0.750;-3.160
1094;3.150;0.850;-3.160
1095;3.150;0.950;-3.160
1096;3.150;1.050;-3.160
1097;3.150;1.150;-3.160
1098;3.150;1.250;-3.160
1099;3.150;1.350;-3.160
1100;3.150;1.450;-3.160
1101;3.150;1.550;-3.160
1102;3.150;1.650;-3.160
1103;3.150;1.750;-3.160
1104;3.150;1.850;-3.160
1105;3.150;1.950;-3.160
1106;3.150;2.050;-3.160
1107;3.150;2.150;-3.160
1108;3.150;2.250;-3.160
1109;3.150;2.350;-3.160
1110;3.150;2.450;-3.160
1111;3.150;2.550;-3.160
1112;3.150;2.650;-3.160
1113;3.150;2.750;-3.160
1114;3.150;2.850;-3.160
1115;3.150;2.950;-3.160
1116;3.150;3.050;-3.160
1117;3.150;3.150;-3.160
1118;3.150;3.250;-3.160
1119;3.150;3.350;-3.160
1120;3.150;3.450;-3.160
1121;3.250;0.050;-3.160
1122;3.250;0.150;-3.160
1123;3.250;0.250;-3.160
1124;3.250;0.350;-3.160
1125;3.250;0.450;-3.160
1126;3.250;0.550;-3.160
1127;3.250;0.650;-3.160
1128;3.250;0.750;-3.160
1129;3.250;0.850;-3.160
1130;3.250;0.950;-3.160
1131;3.250;1.050;-3.160
1132;3.250;1.150;-3.160
1133;3.250;1.250;-3.160
1134;3.250;1.350;-3.160
1135;3.250;1.450;-3.160
1136;3.250;1.550;-3.160
1137;3.250;1.650;-3.160
1138;3.250;1.750;-3.160
1139;3.250;1.850;-3.160
1140;3.250;1.950;-3.160
1141;3.250;2.050;-3.160
1142;3.250;2.150;-3.160
1143;3.250;2.250;-3.160
1144;3.250;2.350;-3.160
1145;3.250;2.450;-3.160
1146;3.250;2.550;-3.160
1147;3.250;2.650;-3.160
1148;3.250;2.750;-3.160
1149;3.250;2.850;-3.160
1150;3.250;2.950;-3.160
1151;3.250;3.050;-3.160
1152;3.250;3.150;-3.160
1153;3.250;3.250;-3.160
1154;3.250;3.350;-3.160
1155;3.250;3.450;-3.160
1156;3.350;0.050;-3.160
1157;3.350;0.150;-3.160
1158;3.350;0.250;-3.160
1159;3.350;0.350;-3.160
1160;3.350;0.450;-3.160
1161;3.350;0.550;-3.160
1162;3.350;0.650;-3.160
1163;3.350;0.750;-3.160
1164;3.350;0.850;-3.160
1165;3.350;0.950;-3.160
1166;3.350;1.050;-3.160
1167;3.350;1.150;-3.160
1168;3.350;1.250;-3.160
1169;3.350;1.350;-3.160
1170;3.350;1.450;-3.160
1171;3.350;1.550;-3.160
1172;3.350;1.650;-3.160
1173;3.350;1.750;-3.160
1174;3.350;1.850;-3.160
1175;3.350;1.950;-3.160
1176;3.350;2.050;-3.160
1177;3.350;2.150;-3.160
1178;3.350;2.250;-3.160
1179;3.350;2.350;-3.160
1180;3.350;2.450;-3.160
1181;3.350;2.550;-3.160
1182;3.350;2.650;-3.160
1183;3.350;2.750;-3.160
1184;3.350;2.850;-3.160
1185;3.350;2.950;-3.160
1186;3.350;3.050;-3.160
1187;3.350;3.150;-3.160
1188;3.350;3.250;-3.160
1189;3.350;3.350;-3.160
1190;3.350;3.450;-3.160
1191;3.450;0.050;-3.160
1192;3.450;0.150;-3.160
1193;3.450;0.250;-3.160
1194;3.450;0.350;-3.160
1195;3.450;0.450;-3.160
1196;3.450;0.550;-3.160
1197;3.450;0.650;-3.160
1198;3.450;0.750;-3.160
1199;3.450;0.850;-3.160
1200;3.450;0.950;-3.160
1201;3.450;1.050;-3.160
1202;3.450;1.150;-3.160
1203;3.450;1.250;-3.160
1204;3.450;1.350;-3.160
1205;3.450;1.450;-3.160
1206;3.450;1.550;-3.160
1207;3.450;1.650;-3.160
1208;3.450;1.750;-3.160
1209;3.450;1.850;-3.160
1210;3.450;1.950;-3.160
1211;3.450;2.050;-3.160
1212;3.450;2.150;-3.160
1213;3.450;2.250;-3.160
1214;3.450;2.350;-3.160
1215;3.450;2.450;-3.160
1216;3.450;2.550;-3.160
1217;3.450;2.650;-3.160
1218;3.450;2.750;-3.160
1219;3.450;2.850;-3.160
1220;3.450;2.950;-3.160
1221;3.450;3.050;-3.160
1222;3.450;3.150;-3.160
1223;3.450;3.250;-3.160
1224;3.450;3.350;-3.160
1225;3.450;3.450;-3.160
1226;3.550;0.050;-3.160
1227;3.550;0.150;-3.160
1228;3.550;0.250;-3.160
1229;3.550;0.350;-3.160
1230;3.550;0.450;-3.160
1231;3.550;0.550;-3.160
1232;3.550;0.650;-3.160
1233;3.550;0.750;-3.160
1234;3.550;0.850;-3.160
1235;3.550;0.950;-3.160
1236;3.550;1.050;-3.160
1237;3.550;1.150;-3.160
1238;3.550;1.250;-3.160
1239;3.550;1.350;-3.160
1240;3.550;1.450;-3.160
1241;3.550;1.550;-3.160
1242;3.550;1.650;-3.160
1243;3.550;1.750;-3.160
1244;3.550;1.850;-3.160
1245;3.550;1.950;-3.160
1246;3.550;2.050;-3.160
1247;3.550;2.150;-3.160
1248;3.550;2.250;-3.160
1249;3.550;2.350;-3.160
1250;3.550;2.450;-3.160
1251;3.550;2.550;-3.160
1252;3.550;2.650;-3.160
1253;3.550;2.750;-3.160
1254;3.550;2.850;-3.160
1255;3.550;2.950;-3.160
1256;3.550;3.050;-3.160
1257;3.550;3.150;-3.160
1258;3.550;3.250;-3.160
1259;3.550;3.350;-3.160
1260;3.550;3.450;-3.160
1261;3.650;0.050;-3.160
1262;3.650;0.150;-3.160
1263;3.650;0.250;-3.160
1264;3.650;0.350;-3.160
1265;3.650;0.450;-3.160
1266;3.650;0.550;-3.160
1267;3.650;0.650;-3.160
1268;3.650;0.750;-3.160
1269;3.650;0.850;-3.160
1270;3.650;0.950;-3.160
1271;3.650;1.050;-3.160
1272;3.650;1.150;-3.160
1273;3.650;1.250;-3.160
1274;3.650;1.350;-3.160
1275;3.650;1.450;-3.160
1276;3.650;1.550;-3.160
1277;3.650;1.650;-3.160
1278;3.650;1.750;-3.160
1279;3.650;1.850;-3.160
1280;3.650;1.950;-3.160
1281;3.650;2.050;-3.160
1282;3.650;2.150;-3.160
1283;3.650;2.250;-3.160
1284;3.650;2.350;-3.160
1285;3.650;2.450;-3.160
1286;3.650;2.550;-3.160
1287;3.650;2.650;-3.160
1288;3.650;2.750;-3.160
1289;3.650;2.850;-3.160
1290;3.650;2.950;-3.160
1291;3.650;3.050;-3.160
1292;3.650;3.150;-3.160
1293;3.650;3.250;-3.160
1294;3.650;3.350;-3.160
1295;3.650;3.450;-3.160
1296;3.750;0.050;-3.160
1297;3.750;0.150;-3.160
1298;3.750;0.250;-3.160
1299;3.750;0.350;-3.160
1300;3.750;0.450;-3.160
1301;3.750;0.550;-3.160
1302;3.750;0.650;-3.160
1303;3.750;0.750;-3.160
1304;3.750;0.850;-3.160
1305;3.750;0.950;-3.160
1306;3.750;1.050;-3.160
1307;3.750;1.150;-3.160
1308;3.750;1.250;-3.160
1309;3.750;1.350;-3.160
1310;3.750;1.450;-3.160
1311;3.750;1.550;-3.160
1312;3.750;1.650;-3.160
1313;3.750;1.750;-3.160
1314;3.750;1.850;-3.160
1315;3.750;1.950;-3.160
1316;3.750;2.050;-3.160
1317;3.750;2.150;-3.160
1318;3.750;2.250;-3.160
1319;3.750;2.350;-3.160
1320;3.750;2.450;-3.160
1321;3.750;2.550;-3.160
1322;3.750;2.650;-3.160
1323;3.750;2.750;-3.160
1324;3.750;2.850;-3.160
1325;3.750;2.950;-3.160
1326;3.750;3.050;-3.160
1327;3.750;3.150;-3.160
1328;3.750;3.250;-3.160
1329;3.750;3.350;-3.160
1330;3.750;3.450;-3.160
1331;3.850;0.050;-3.160
1332;3.850;0.150;-3.160
1333;3.850;0.250;-3.160
1334;3.850;0.350;-3.160
1335;3.850;0.450;-3.160
1336;3.850;0.550;-3.160
1337;3.850;0.650;-3.160
1338;3.850;0.750;-3.160
1339;3.850;0.850;-3.160
1340;3.850;0.950;-3.160
1341;3.850;1.050;-3.160
1342;3.850;1.150;-3.160
1343;3.850;1.250;-3.160
1344;3.850;1.350;-3.160
1345;3.850;1.450;-3.160
1346;3.850;1.550;-3.160
1347;3.850;1.650;-3.160
1348;3.850;1.750;-3.160
1349;3.850;1.850;-3.160
1350;3.850;1.950;-3.160
1351;3.850;2.050;-3.160
1352;3.850;2.150;-3.160
1353;3.850;2.250;-3.160
1354;3.850;2.350;-3.160
1355;3.850;2.450;-3.160
1356;3.850;2.550;-3.160
1357;3.850;2.650;-3.160
1358;3.850;2.750;-3.160
1359;3.850;2.850;-3.160
1360;3.850;2.950;-3.160
1361;3.850;3.050;-3.160
1362;3.850;3.150;-3.160
1363;3.850;3.250;-3.160
1364;3.850;3.350;-3.160
1365;3.850;3.450;-3.160
1366;3.950;0.050;-3.160
1367;3.950;0.150;-3.160
1368;3.950;0.250;-3.160
1369;3.950;0.350;-3.160
1370;3.950;0.450;-3.160
1371;3.950;0.550;-3.160
1372;3.950;0.650;-3.160
1373;3.950;0.750;-3.160
1374;3.950;0.850;-3.160
1375;3.950;0.950;-3.160
1376;3.950;1.050;-3.160
1377;3.950;1.150;-3.160
1378;3.950;1.250;-3.160
1379;3.950;1.350;-3.160
1380;3.950;1.450;-3.160
1381;3.950;1.550;-3.160
1382;3.950;1.650;-3.160
1383;3.950;1.750;-3.160
1384;3.950;1.850;-3.160
1385;3.950;1.950;-3.160
1386;3.950;2.050;-3.160
1387;3.950;2.150;-3.160
1388;3.950;2.250;-3.160
1389;3.950;2.350;-3.160
1390;3.950;2.450;-3.160
1391;3.950;2.550;-3.160
1392;3.950;2.650;-3.160
1393;3.950;2.750;-3.160
1394;3.950;2.850;-3.160
1395;3.950;2.950;-3.160
1396;3.950;3.050;-3.160
1397;3.950;3.150;-3.160
1398;3.950;3.250;-3.160
1399;3.950;3.350;-3.160
1400;3.950;3.450;-3.160
1401;4.050;0.050;-3.160
1402;4.050;0.150;-3.160
1403;4.050;0.250;-3.160
1404;4.050;0.350;-3.160
1405;4.050;0.450;-3.160
1406;4.050;0.550;-3.160
1407;4.050;0.650;-3.160
1408;4.050;0.750;-3.160
1409;4.050;0.850;-3.160
1410;4.050;0.950;-3.160
1411;4.050;1.050;-3.160
1412;4.050;1.150;-3.160
1413;4.050;1.250;-3.160
1414;4.050;1.350;-3.160
1415;4.050;1.450;-3.160
1416;4.050;1.550;-3.160
1417;4.050;1.650;-3.160
1418;4.050;1.750;-3.160
1419;4.050;1.850;-3.160
1420;4.050;1.950;-3.160
1421;4.050;2.050;-3.160
1422;4.050;2.150;-3.160
1423;4.050;2.250;-3.160
1424;4.050;2.350;-3.160
1425;4.050;2.450;-3.160
1426;4.050;2.550;-3.160
1427;4.050;2.650;-3.160
1428;4.050;2.750;-3.160
1429;4.050;2.850;-3.160
1430;4.050;2.950;-3.160
1431;4.050;3.050;-3.160
1432;4.050;3.150;-3.160
1433;4.050;3.250;-3.160
1434;4.050;3.350;-3.160
1435;4.050;3.450;-3.160
1436;4.150;0.050;-3.160
1437;4.150;0.150;-3.160
1438;4.150;0.250;-3.160
1439;4.150;0.350;-3.160
1440;4.150;0.450;-3.160
1441;4.150;0.550;-3.160
1442;4.150;0.650;-3.160
1443;4.150;0.750;-3.160
1444;4.150;0.850;-3.160
1445;4.150;0.950;-3.160
1446;4.150;1.050;-3.160
1447;4.150;1.150;-3.160
1448;4.150;1.250;-3.160
1449;4.150;1.350;-3.160
1450;4.150;1.450;-3.160
1451;4.150;1.550;-3.160
1452;4.150;1.650;-3.160
1453;4.150;1.750;-3.160
1454;4.150;1.850;-3.160
1455;4.150;1.950;-3.160
1456;4.150;2.050;-3.160
1457;4.150;2.150;-3.160
1458;4.150;2.250;-3.160
1459;4.150;2.350;-3.160
1460;4.150;2.450;-3.160
1461;4.150;2.550;-3.160
1462;4.150;2.650;-3.160
1463;4.150;2.750;-3.160
1464;4.150;2.850;-3.160
1465;4.150;2.950;-3.160
1466;4.150;3.050;-3.160
1467;4.150;3.150;-3.160
1468;4.150;3.250;-3.160
1469;4.150;3.350;-3.160
1470;4.150;3.450;-3.160
1471;4.250;0.050;-3.160
1472;4.250;0.150;-3.160
1473;4.250;0.250;-3.160
1474;4.250;0.350;-3.160
1475;4.250;0.450;-3.160
1476;4.250;0.550;-3.160
1477;4.250;0.650;-3.160
1478;4.250;0.750;-3.160
1479;4.250;0.850;-3.160
1480;4.250;0.950;-3.160
1481;4.250;1.050;-3.160
1482;4.250;1.150;-3.160
1483;4.250;1.250;-3.160
1484;4.250;1.350;-3.160
1485;4.250;1.450;-3.160
1486;4.250;1.550;-3.160
1487;4.250;1.650;-3.160
1488;4.250;1.750;-3.160
1489;4.250;1.850;-3.160
1490;4.250;1.950;-3.160
1491;4.250;2.050;-3.160
1492;4.250;2.150;-3.160
1493;4.250;2.250;-3.160
1494;4.250;2.350;-3.160
1495;4.250;2.450;-3.160
1496;4.250;2.550;-3.160
1497;4.250;2.650;-3.160
1498;4.250;2.750;-3.160
1499;4.250;2.850;-3.160
1500;4.250;2.950;-3.160
1501;4.250;3.050;-3.160
1502;4.250;3.150;-3.160
1503;4.250;3.250;-3.160
1504;4.250;3.350;-3.160
1505;4.250;3.450;-3.160
1506;4.350;0.050;-3.160
1507;4.350;0.150;-3.160
1508;4.350;0.250;-3.160
1509;4.350;0.350;-3.160
1510;4.350;0.450;-3.160
1511;4.350;0.550;-3.160
1512;4.350;0.650;-3.160
1513;4.350;0.750;-3.160
1514;4.350;0.850;-3.160
1515;4.350;0.950;-3.160
1516;4.350;1.050;-3.160
1517;4.350;1.150;-3.160
1518;4.350;1.250;-3.160
1519;4.350;1.350;-3.160
1520;4.350;1.450;-3.160
1521;4.350;1.550;-3.160
1522;4.350;1.650;-3.160
1523;4.350;1.750;-3.160
1524;4.350;1.850;-3.160
1525;4.350;1.950;-3.160
1526;4.350;2.050;-3.160
1527;4.350;2.150;-3.160
1528;4.350;2.250;-3.160
1529;4.350;2.350;-3.160
1530;4.350;2.450;-3.160
1531;4.350;2.550;-3.160
1532;4.350;2.650;-3.160
1533;4.350;2.750;-3.160
1534;4.350;2.850;-3.160
1535;4.350;2.950;-3.160
1536;4.350;3.050;-3.160
1537;4.350;3.150;-3.160
1538;4.350;3.250;-3.160
1539;4.350;3.350;-3.160
1540;4.350;3.450;-3.160
1541;4.450;0.050;-3.160
1542;4.450;0.150;-3.160
1543;4.450;0.250;-3.160
1544;4.450;0.350;-3.160
1545;4.450;0.450;-3.160
1546;4.450;0.550;-3.160
1547;4.450;0.650;-3.160
1548;4.450;0.750;-3.160
1549;4.450;0.850;-3.160
1550;4.450;0.950;-3.160
1551;4.450;1.050;-3.160
1552;4.450;1.150;-3.160
1553;4.450;1.250;-3.160
1554;4.450;1.350;-3.160
1555;4.450;1.450;-3.160
1556;4.450;1.550;-3.160
1557;4.450;1.650;-3.160
1558;4.450;1.750;-3.160
1559;4.450;1.850;-3.160
1560;4.450;1.950;-3.160
1561;4.450;2.050;-3.160
1562;4.450;2.150;-3.160
1563;4.450;2.250;-3.160
1564;4.450;2.350;-3.160
1565;4.450;2.450;-3.160
1566;4.450;2.550;-3.160
1567;4.450;2.650;-3.160
1568;4.450;2.750;-3.160
1569;4.450;2.850;-3.160
1570;4.450;2.950;-3.160
1571;4.450;3.050;-3.160
1572;4.450;3.150;-3.160
1573;4.450;3.250;-3.160
1574;4.450;3.350;-3.160
1575;4.450;3.450;-3.160
1576;4.550;0.050;-3.160
1577;4.550;0.150;-3.160
1578;4.550;0.250;-3.160
1579;4.550;0.350;-3.160
1580;4.550;0.450;-3.160
1581;4.550;0.550;-3.160
1582;4.550;0.650;-3.160
1583;4.550;0.750;-3.160
1584;4.550;0.850;-3.160
1585;4.550;0.950;-3.160
1586;4.550;1.050;-3.160
1587;4.550;1.150;-3.160
1588;4.550;1.250;-3.160
1589;4.550;1.350;-3.160
1590;4.550;1.450;-3.160
1591;4.550;1.550;-3.160
1592;4.550;1.650;-3.160
1593;4.550;1.750;-3.160
1594;4.550;1.850;-3.160
1595;4.550;1.950;-3.160
1596;4.550;2.050;-3.160
1597;4.550;2.150;-3.160
1598;4.550;2.250;-3.160
1599;4.550;2.350;-3.160
1600;4.550;2.450;-3.160
1601;4.550;2.550;-3.160
1602;4.550;2.650;-3.160
1603;4.550;2.750;-3.160
1604;4.550;2.850;-3.160
1605;4.550;2.950;-3.160
1606;4.550;3.050;-3.160
1607;4.550;3.150;-3.160
1608;4.550;3.250;-3.160
1609;4.550;3.350;-3.160
1610;4.550;3.450;-3.160
1611;4.650;0.050;-3.160
1612;4.650;0.150;-3.160
1613;4.650;0.250;-3.160
1614;4.650;0.350;-3.160
1615;4.650;0.450;-3.160
1616;4.650;0.550;-3.160
1617;4.650;0.650;-3.160
1618;4.650;0.750;-3.160
1619;4.650;0.850;-3.160
1620;4.650;0.950;-3.160
1621;4.650;1.050;-3.160
1622;4.650;1.150;-3.160
1623;4.650;1.250;-3.160
1624;4.650;1.350;-3.160
1625;4.650;1.450;-3.160
1626;4.650;1.550;-3.160
1627;4.650;1.650;-3.160
1628;4.650;1.750;-3.160
1629;4.650;1.850;-3.160
1630;4.650;1.950;-3.160
1631;4.650;2.050;-3.160
1632;4.650;2.150;-3.160
1633;4.650;2.250;-3.160
1634;4.650;2.350;-3.160
1635;4.650;2.450;-3.160
1636;4.650;2.550;-3.160
1637;4.650;2.650;-3.160
1638;4.650;2.750;-3.160
1639;4.650;2.850;-3.160
1640;4.650;2.950;-3.160
1641;4.650;3.050;-3.160
1642;4.650;3.150;-3.160
1643;4.650;3.250;-3.160
1644;4.650;3.350;-3.160
1645;4.650;3.450;-3.160
1646;4.750;0.050;-3.160
1647;4.750;0.150;-3.160
1648;4.750;0.250;-3.160
1649;4.750;0.350;-3.160
1650;4.750;0.450;-3.160
1651;4.750;0.550;-3.160
1652;4.750;0.650;-3.160
1653;4.750;0.750;-3.160
1654;4.750;0.850;-3.160
1655;4.750;0.950;-3.160
1656;4.750;1.050;-3.160
1657;4.750;1.150;-3.160
1658;4.750;1.250;-3.160
1659;4.750;1.350;-3.160
1660;4.750;1.450;-3.160
1661;4.750;1.550;-3.160
1662;4.750;1.650;-3.160
1663;4.750;1.750;-3.160
1664;4.750;1.850;-3.160
1665;4.750;1.950;-3.160
1666;4.750;2.050;-3.160
1667;4.750;2.150;-3.160
1668;4.750;2.250;-3.160
1669;4.750;2.350;-3.160
1670;4.750;2.450;-3.160
1671;4.750;2.550;-3.160
1672;4.750;2.650;-3.160
1673;4.750;2.750;-3.160
1674;4.750;2.850;-3.160
1675;4.750;2.950;-3.160
1676;4.750;3.050;-3.160
1677;4.750;3.150;-3.160
1678;4.750;3.250;-3.160
1679;4.750;3.350;-3.160
1680;4.750;3.450;-3.160
1681;4.850;0.050;-3.160
1682;4.850;0.150;-3.160
1683;4.850;0.250;-3.160
1684;4.850;0.350;-3.160
1685;4.850;0.450;-3.160
1686;4.850;0.550;-3.160
1687;4.850;0.650;-3.160
1688;4.850;0.750;-3.160
1689;4.850;0.850;-3.160
1690;4.850;0.950;-3.160
1691;4.850;1.050;-3.160
1692;4.850;1.150;-3.160
1693;4.850;1.250;-3.160
1694;4.850;1.350;-3.160
1695;4.850;1.450;-3.160
1696;4.850;1.550;-3.160
1697;4.850;1.650;-3.160
1698;4.850;1.750;-3.160
1699;4.850;1.850;-3.160
1700;4.850;1.950;-3.160
1701;4.850;2.050;-3.160
1702;4.850;2.150;-3.160
1703;4.850;2.250;-3.160
1704;4.850;2.350;-3.160
1705;4.850;2.450;-3.160
1706;4.850;2.550;-3.160
1707;4.850;2.650;-3.160
1708;4.850;2.750;-3.160
1709;4.850;2.850;-3.160
1710;4.850;2.950;-3.160
1711;4.850;3.050;-3.160
1712;4.850;3.150;-3.160
1713;4.850;3.250;-3.160
1714;4.850;3.350;-3.160
1715;4.850;3.450;-3.160
1716;4.950;0.050;-3.160
1717;4.950;0.150;-3.160
1718;4.950;0.250;-3.160
1719;4.950;0.350;-3.160
1720;4.950;0.450;-3.160
1721;4.950;0.550;-3.160
1722;4.950;0.650;-3.160
1723;4.950;0.750;-3.160
1724;4.950;0.850;-3.160
1725;4.950;0.950;-3.160
1726;4.950;1.050;-3.160
1727;4.950;1.150;-3.160
1728;4.950;1.250;-3.160
1729;4.950;1.350;-3.160
1730;4.950;1.450;-3.160
1731;4.950;1.550;-3.160
1732;4.950;1.650;-3.160
1733;4.950;1.750;-3.160
1734;4.950;1.850;-3.160
1735;4.950;1.950;-3.160
1736;4.950;2.050;-3.160
1737;4.950;2.150;-3.160
1738;4.950;2.250;-3.160
1739;4.950;2.350;-3.160
1740;4.950;2.450;-3.160
1741;4.950;2.550;-3.160
1742;4.950;2.650;-3.160
1743;4.950;2.750;-3.160
1744;4.950;2.850;-3.160
1745;4.950;2.950;-3.160
1746;4.950;3.050;-3.160
1747;4.950;3.150;-3.160
1748;4.950;3.250;-3.160
1749;4.950;3.350;-3.160
1750;4.950;3.450;-3.160
1751;5.050;0.050;-3.160
1752;5.050;0.150;-3.160
1753;5.050;0.250;-3.160
1754;5.050;0.350;-3.160
1755;5.050;0.450;-3.160
1756;5.050;0.550;-3.160
1757;5.050;0.650;-3.160
1758;5.050;0.750;-3.160
1759;5.050;0.850;-3.160
1760;5.050;0.950;-3.160
1761;5.050;1.050;-3.160
1762;5.050;1.150;-3.160
1763;5.050;1.250;-3.160
1764;5.050;1.350;-3.160
1765;5.050;1.450;-3.160
1766;5.050;1.550;-3.160
1767;5.050;1.650;-3.160
1768;5.050;1.750;-3.160
1769;5.050;1.850;-3.160
1770;5.050;1.950;-3.160
1771;5.050;2.050;-3.160
1772;5.050;2.150;-3.160
1773;5.050;2.250;-3.160
1774;5.050;2.350;-3.160
1775;5.050;2.450;-3.160
1776;5.050;2.550;-3.160
1777;5.050;2.650;-3.160
1778;5.050;2.750;-3.160
1779;5.050;2.850;-3.160
1780;5.050;2.950;-3.160
1781;5.050;3.050;-3.160
1782;5.050;3.150;-3.160
1783;5.050;3.250;-3.160
1784;5.050;3.350;-3.160
1785;5.050;3.450;-3.160
1786;5.150;0.050;-3.160
1787;5.150;0.150;-3.160
1788;5.150;0.250;-3.160
1789;5.150;0.350;-3.160
1790;5.150;0.450;-3.160
1791;5.150;0.550;-3.160
1792;5.150;0.650;-3.160
1793;5.150;0.750;-3.160
1794;5.150;0.850;-3.160
1795;5.150;0.950;-3.160
1796;5.150;1.050;-3.160
1797;5.150;1.150;-3.160
1798;5.150;1.250;-3.160
1799;5.150;1.350;-3.160
1800;5.150;1.450;-3.160
1801;5.150;1.550;-3.160
1802;5.150;1.650;-3.160
